IPV6频道专区,#genre#
NewTv古装剧场,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8

NewTv欢乐剧场,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8

NewTv黑莓动画,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8

NewTv黑莓电影,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8

NewTv怡伴健康,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8

NewTv潮妈辣婆,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8

NewTv军旅剧场,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8

NewTv军事评论,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8

NewTv中国功夫,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8

NewTv农业致富,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8

NewTv动作电影,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8

NewTv家庭剧场,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8

NewTv惊悚悬疑,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8

NewTv武博世界,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8

NewTv炫舞未来,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8

NewTv爱情喜剧,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8

NewTv精品萌宠,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8

NewTv精品体育,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8

NewTv精品大剧,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8

NewTv精品记录,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8





 稳定流畅推荐,#genre#

认准QQ群：867734458,https://vdse.bdstatic.com//3251671626c8621683d7c7ecc9956c42.mp4

经典动作电影,http://zby.xjqxz.top/lljdy/live.m3u8,
          http://1.94.31.214:35455/huya/11342390,
          http://cdn.jdshipin.com:8880/huya.php?id=11342390,
          http://ttkx.cc:776/8585/hy.php?id=11342390

重温经典,http://mtw.so/5NPX0U,
          http://ali.hlspull.yximgs.com/live/awei_cwjd.flv,
          http://cdn3.132.us.kg/live/cwjd/stream.m3u8

CCTV6电影,http://182.92.109.190:1668/72/72.php?id=cctv6,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv6,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8

CCTV13-新闻,http://182.92.109.190:1668/72/72.php?id=cctv13,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv13,
          http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8

今日说法,http://zby.xjqxz.top/jrsf/live.m3u8

浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8,
          https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv,
          http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8

星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv

环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8

延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8,
          http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8

江苏卫视,http://live.nctv.top/6688/jstv.php?id=jsws,
          http://106.53.99.30/dl/jstv.php?id=jsws,
          http://my.tmos.cn:15181/chs003.m3u8,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226495/index.m3u8

江西卫视,http://php.jdshipin.com/jxtv2.php?id=1,
          http://cc-ynbit-wszhibo.ifengli.com:2000/live/jxws-hd/2500.m3u8?innersid=14570431181364255736&amp,
          http://ttkx.cc:776/8585/mg9.php?id=jxws,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=jxws,
          http://182.92.109.190:1668/72/72.php?id=jxws,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jxws

古装电视剧,http://zby.xjqxz.top/hkdy1/live.m3u8

林正英电影,http://mtw.so/5FCWRo,
          http://1.94.31.214:35455/huya/11342421,
          http://cdn.jdshipin.com:8880/huya.php?id=11342421,
          http://ttkx.cc:776/8585/hy.php?id=11342421
        ]
      }
    ]
  },
  {
 央视和卫视,#genre#

左右键可切换源,http://ttkx.cc:776/8585/mg9.php?id=cctv1,
          http://47.109.155.164/jd/山西.php?id=cctv1

CCTV1综合,http://ttkx.cc:776/8585/mg9.php?id=cctv1,
          http://ttkx.cc:776/8585/mg9.php?id=cctv1,
          http://182.92.109.190:1668/72/72.php?id=cctv1,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv1,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8,
          http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv1,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv1,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv1,
          http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv1

CCTV2财经,http://182.92.109.190:1668/72/72.php?id=cctv2,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv2,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv2,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv2,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv2,
          http://ttkx.cc:776/8585/mg9.php?id=cctv2,
          http://47.109.155.164/jd/山西.php?id=cctv2,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv2

CCTV3综艺,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv3,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv3,
          http://182.92.109.190:1668/72/72.php?id=cctv3,
          http://ttkx.cc:776/8585/mg9.php?id=cctv3,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv3,
          http://47.109.155.164/jd/山西.php?id=cctv3,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv3

CCTV4国际,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv4,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv4,
          http://ttkx.cc:776/8585/mg9.php?id=cctv4,
          http://ttkx.cc:776/8585/mg9.php?id=cctv4,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226007/index.m3u8,
          http://182.92.109.190:1668/72/72.php?id=cctv4,
          http://47.109.155.164/jd/山西.php?id=cctv4,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv4

CCTV5体育,http://182.92.109.190:1668/72/72.php?id=cctv5,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv5,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv5,
          http://ttkx.cc:776/8585/mg9.php?id=cctv5,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv5,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv5,
          http://47.109.155.164/jd/山西.php?id=cctv5

CCTV5+体育+,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv5p,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv5p,
          http://47.109.155.164/jd/山西.php?id=cctv5p,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv5p,
          http://182.92.109.190:1668/72/72.php?id=cctv5p,
          http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv5p,
          http://ttkx.cc:776/8585/mg9.php?id=cctv5p,
          http://hotelplay.net/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476889.ts

CCTV6电影,http://182.92.109.190:1668/72/72.php?id=cctv6,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv6,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv6,
          http://ttkx.cc:776/8585/mg9.php?id=cctv6,
          http://ttkx.cc:776/8585/mg9.php?id=cctv6,
          http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv6,
          http://47.109.155.164/jd/山西.php?id=cctv6,
          http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000006

CCTV7军事,http://182.92.109.190:1668/72/72.php?id=cctv7,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv7,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv7,
          http://ttkx.cc:776/8585/mg9.php?id=cctv7,
          http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv7,
          http://47.109.155.164/jd/山西.php?id=cctv7,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv7,
          http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000007

CCTV8电视剧,http://182.92.109.190:1668/72/72.php?id=cctv8,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv8,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv8,
          http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv8,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv8,
          http://47.109.155.164/jd/山西.php?id=cctv8,
          http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000008

CCTV9纪录,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv9,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv9,
          http://182.92.109.190:1668/72/72.php?id=cctv9,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv9,
          http://ttkx.cc:776/8585/mg9.php?id=cctv9,
          http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv9,
          http://47.109.155.164/jd/山西.php?id=cctv9,
          http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000009

CCTV10科教,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv10,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv10,
          http://182.92.109.190:1668/72/72.php?id=cctv10,
          http://ttkx.cc:776/8585/mg9.php?id=cctv10,
          http://ttkx.cc:776/8585/mg9.php?id=cctv10,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv10,
          http://47.109.155.164/jd/山西.php?id=cctv10,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225730/index.m3u8,
          http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000010

CCTV11戏曲,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv11,
          http://182.92.109.190:1668/72/72.php?id=cctv11,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv11,
          http://ttkx.cc:776/8585/mg9.php?id=cctv11,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225597/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv11,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv11,
          http://47.109.155.164/jd/山西.php?id=cctv11

CCTV12社会与法,http://182.92.109.190:1668/72/72.php?id=cctv12,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv12,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv12,
          http://ttkx.cc:776/8585/mg9.php?id=cctv12,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225731/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv12,
          http://47.109.155.164/jd/山西.php?id=cctv12,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv12

CCTV13新闻,http://lives.jnnews.tv/video/s10001-cctv/index.m3u8,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv13,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv13,
          http://182.92.109.190:1668/72/72.php?id=cctv13,
          http://ttkx.cc:776/8585/mg9.php?id=cctv13,
          http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv13,
          http://47.109.155.164/jd/山西.php?id=cctv13,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv13

CCTV14少儿,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv14,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv14,
          http://ttkx.cc:776/8585/mg9.php?id=cctv14,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv14,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225732/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv14,
          http://182.92.109.190:1668/72/72.php?id=cctv14,
          http://47.109.155.164/jd/山西.php?id=cctv14

CCTV15音乐,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv15,
          http://47.109.155.164/jd/山西.php?id=cctv15,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv15,
          http://182.92.109.190:1668/72/72.php?id=cctv15,
          http://ttkx.cc:776/8585/mg9.php?id=cctv15,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225601/index.m3u8,
          http://ttkx.cc:776/8585/mg9.php?id=cctv15,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv15

CCTV16奥运,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv16,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv16,
          http://ttkx.cc:776/8585/mg9.php?id=cctv16,
          http://ttkx.cc:776/8585/mg9.php?id=cctv16,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226100/index.m3u8,
          http://182.92.109.190:1668/72/72.php?id=cctv16,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv16,
          http://47.109.155.164/jd/山西.php?id=cctv16

CCTV17农业,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv17,
          http://182.92.109.190:1668/72/72.php?id=cctv17,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv17,
          http://ttkx.cc:776/8585/mg9.php?id=cctv17,
          http://ttkx.cc:776/8585/mg9.php?id=cctv17,
          http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv17,
          http://47.109.155.164/jd/山西.php?id=cctv17

北京卫视,http://my.tmos.cn:15181/chs002.m3u8,
          http://live.nctv.top/6688/bjtv.php?id=bjws,
          http://59.62.40.243:8888/udp/239.252.219.206:5140,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226450/index.m3u8,
          http://cc-ynbit-wszhibo.ifengli.com:2000/live/bjws-hd/1.m3u8?innersid=18360129623627541611&amp,
          http://182.92.109.190:1668/72/72.php?id=bjws,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=bjws,
          http://ttkx.cc:776/8585/mg9.php?id=bjws,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=bjws,
          http://47.109.155.164/jd/山西.php?id=bjws,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=bjws

浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8,
          http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226339/index.m3u8,
          http://my.tmos.cn:15181/chs004.m3u8,
          http://cc-ynbit-wszhibo.ifengli.com:2000/live/zsws-hd/2500.m3u8?innersid=6252212644869032383&amp,
          http://47.109.155.164/jd/山西.php?id=zjws,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=zjws,
          http://182.92.109.190:1668/72/72.php?id=zjws,
          http://ttkx.cc:776/8585/mg9.php?id=zjws,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=zjws,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=zjws

东方卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/shdfws-hd/2500.m3u8?innersid=6998114529464369318&amp,
          http://live.nctv.top/6688/yangshi.php?id=1301,
          http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dfws,
          http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226336/index.m3u8,
          http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=dfws,
          http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=dfws,
          http://ttkx.cc:776/8585/mg9.php?id=dfws,
          http://47.109.155.164/jd/山西.php?id=dfws,
          http://182.92.109.190:1668/72/72.php?id=dfws,
          http://58.37.91.64:4000/udp/239.45.3.146:5140

