<html>
 <head></head>
 <body

🇯🇵🔞以下需更新源码松视169直播区_99811,#genre# 
HGTV TW,p3p://108.181.32.169:40891/641382440002a30ca58ecdbf74a8039c
AFC AFN,p3p://108.181.32.169:40891/641382600009923ea58f3ce6638b7516
TLC HD,p3p://108.181.32.169:40891/64138278000b9ab8a58f9b2b5a106790
TLC旅游生活,p3p://108.181.32.169:40891/6413828d000cff1da58fed8f7d2719cf
Food Network,p3p://108.181.32.169:40891/641382a10003769fa590393e3fb23f92
Asia Food Network,p3p://108.181.32.169:40891/641382ce0009fbafa590eab223060296
E! HD,p3p://108.181.32.169:40891/641382e1000e0ae1a59135f449455b3d
DMAX HD,p3p://108.181.32.169:40891/6413830e000184eea591e2872b6d66d2
Travel Channel,p3p://108.181.32.169:40891/6413832400050785a592395d1e6e5cd2
Travel,p3p://108.181.32.169:40891/6413833b0002906da592929427bc2047
CI 罪案侦查频道,p3p://108.181.32.169:40891/6413834e0001dcdfa592dc9e70500376
Animal Planet,p3p://108.181.32.169:40891/64138361000ebac2a5932a2128c72b2e
NatGeo,p3p://108.181.32.169:40891/6413837500016343a59374d77edf394b
NatGeo Wild HD,p3p://108.181.32.169:40891/6413838c000428cca593cf656569021f
HISTORY2,p3p://108.181.32.169:40891/641383a2000b3d73a59427257bb61a15
Discovery Science,p3p://108.181.32.169:40891/641383bd000eddc3a594917b13206375
Discovery Science TW,p3p://108.181.32.169:40891/641383d0000ded44a594db7641050686
Discovery Asia TW,p3p://108.181.32.169:40891/641383e2000df6c4a59521c82bec6fdc
Discovery Channel,p3p://108.181.32.169:40891/641383f300048101a59561c464b07293
Love Nature,p3p://108.181.32.169:40891/64138508000471b7a5999bd702f428aa
MTV LIVE my,p3p://108.181.32.169:40891/641381a8000b2beaa58c6e90661462b5
nickelodeon MUSIC,p3p://108.181.32.169:40891/6462700200081b15d9dd78b270197060
Nick Music,p3p://108.181.32.169:40891/6462701400067a04d9ddbe98570c53f1
Music Choice,p3p://108.181.32.169:40891/64682d3700017fbaf0488e0c4d515f97
Music Choice - Rap 2K HD,p3p://108.181.32.169:40891/64682d42000bb44ff048bba17fdc1687
Music Choice - Hip-Hop R,p3p://108.181.32.169:40891/64682d4f000c56e6f048ee933d4966de
Music Choice - ALTERNATIVE,p3p://108.181.32.169:40891/64682d6200079767f04937936ac935be
MoviePlex FHD,p3p://108.181.32.169:40891/64682d6e000ead8df049684444cc6e25
FUSION,p3p://108.181.32.169:40891/64682d86000d9dd7f049c5be62a544dc
INVESTMENT PITCH,p3p://108.181.32.169:40891/64682d920000784af049f14136c47100
MTV 2,p3p://108.181.32.169:40891/6465b57200035a76e6a4b4fa39e03456
MTV CLASSIC,p3p://108.181.32.169:40891/6465b57e000664abe6a4e4a12a9c53c2
MTV UHD,p3p://108.181.32.169:40891/6465b595000b11b4e6a53fac6b7c2eaa
OUTDOOR CHANNEL,p3p://108.181.32.169:40891/6465b5a0000c3aa7e6a56af0523416a8
Nat Geo Wild Uoo7,p3p://108.181.32.169:40891/645fbc4e000ef087cf4fbd770b2c438b
Nat Geo Uoo7,p3p://108.181.32.169:40891/645fbc5a000d37fccf4febe77c8856bb
Channel 8,p3p://108.181.32.169:40891/642606be0002dd54ede3d8b40d6c04dc
Channel 8(b),p3p://108.181.32.169:40891/642605590007b381edde676b090919b0
Channel 5,p3p://108.181.32.169:40891/642606de000ae43dede457c221b81de1
Channel 5(b),p3p://108.181.32.169:40891/642606cc000ea9beede41269137f162d
Channel u,p3p://108.181.32.169:40891/642606fa000535beede4c3ae3202280b
Channel u(b),p3p://108.181.32.169:40891/642606ee00041309ede4948330973faf
Suria,p3p://108.181.32.169:40891/642607350004432dede5a9e74ab33b04
Suria(b),p3p://108.181.32.169:40891/642607270006fbf5ede573e945ee3a6c
Vaoo7ntham,p3p://108.181.32.169:40891/6426075f0008f378ede64f2a028a268e
Vaoo7ntham(b),p3p://108.181.32.169:40891/64260747000040bcede5ef305d766294
CNA,p3p://108.181.32.169:40891/6426077a00093ea7ede6b8b64d6d4c6e
CAN B,p3p://108.181.32.169:40891/6426078a00013cc2ede6f5290aab17e4
CM+,p3p://108.181.32.169:40891/65f5aee3000d00b621b571302181656e
E -Le HD 乐,p3p://108.181.32.169:40891/65f5aeef000e9d4b21b5a07a3391218d
娱家,p3p://108.181.32.169:40891/65f5aef60008044721b5ba22261e5d65
ECity 都会台,p3p://108.181.32.169:40891/65f5aefd0000f16221b5d3aa029b351e
HBO HD my,p3p://108.181.32.169:40891/64137ee50006d7eca581a3b3297e60a3
HBO tw,p3p://108.181.32.169:40891/64137f0b0006a17fa58238155813216c
HBO Family my,p3p://108.181.32.169:40891/64137f29000ae5e4a582ae5d42d65d7a
HBO家庭,p3p://108.181.32.169:40891/64137f3c000d4a86a582f93235111bc5
HBO Signature my,p3p://108.181.32.169:40891/64137f530000971da5834fca2631479a
HBO强档,p3p://108.181.32.169:40891/64137f700008f329a583c3344ddf5dfc
HBO Hits my,p3p://108.181.32.169:40891/64137f85000a578fa58415985b5b1f5d
HBO原创,p3p://108.181.32.169:40891/64137f970005246ea5845a9326ce6233
AXN tw,p3p://108.181.32.169:40891/64137fb6000e2555a584d5f94945113b
Thrill,p3p://108.181.32.169:40891/644a0879000272f67a89b6687af342ae
AXN tw2,p3p://108.181.32.169:40891/64137fed000660a5a585aad4055228a8
AXN my,p3p://108.181.32.169:40891/6413800100002d47a585f75e0b4d15d4
CINEMAX tw,p3p://108.181.32.169:40891/641380160003b61ca5864a4e3d49763a
Cinemax my,p3p://108.181.32.169:40891/6413802a000969a0a58699e441aa3320
Animax my,p3p://108.181.32.169:40891/6413803e00077f23a586e786585056af
Animax tw,p3p://108.181.32.169:40891/6413807500012fe3a587bcbf2e6b7388
Hits Movies my,p3p://108.181.32.169:40891/6413808800072695a588087e3cc239d1
CTI Asia中天亚洲,p3p://108.181.32.169:40891/64254f7e000dfed1eb1809855c5735ce
One HD,p3p://108.181.32.169:40891/64124c0e00080254a0d30c2d0630425d
Astro AEC(a),p3p://108.181.32.169:40891/64124c2d0006c6eba0d384f41e28720a
Astro AEC(b),p3p://108.181.32.169:40891/64124c700006cf30a0d48aaf01411bf2
Astro 全佳 Quanjia,p3p://108.181.32.169:40891/64124c91000ce85ba0d50d273a3f550c
Astro 欢喜 Huahee,p3p://108.181.32.169:40891/64124caf0002a78fa0d57fb777596e7b
Astro双星 ShuangXing,p3p://108.181.32.169:40891/64124cd6000d2114a0d61abd59b301f5
翡翠台(b),p3p://108.181.32.169:40891/6533f5c20003762b2cfef1ac322c6404
翡翠台MY,p3p://108.181.32.169:40891/6533f6f8000f2ebd2d03af9d53e46544
TVB黄金翡翠台,p3p://108.181.32.169:40891/64206c63000c3a90d801201c5fe2483a
Astro AOD 351,p3p://108.181.32.169:40891/6427ba150003a8b2f48864c0637f78d5
Astro AOD 352,p3p://108.181.32.169:40891/6427ba33000e1d77f488dc9d368a21a6
Astro AOD 353,p3p://108.181.32.169:40891/6427ba4e000e68a7f4894628702a319e
Astro AOD 354,p3p://108.181.32.169:40891/6427ba6b0002c078f489b4757d803340
Astro AOD 355,p3p://108.181.32.169:40891/6427ba850008c867f48a1b90472f7860
Astro 小太阳 Xiaotaiyang,p3p://108.181.32.169:40891/64124cfa00001c82a0d6a40858217ea4
TVB_CLASSIC,p3p://108.181.32.169:40891/6410219e0000704b985d44bd2a501d47
TVB星河粤语,p3p://108.181.32.169:40891/64124d6a00062ff8a0d85b176a3f19bd
TVB星河国语,p3p://108.181.32.169:40891/64124d490002f20da0d7d95b4dbe6256
TVB Classic,p3p://108.181.32.169:40891/64124d230009d2bba0d746ad78416db2
TVB_E-NEWS,p3p://108.181.32.169:40891/64124d81000ccc51a0d8b69f1a1a762b
TVB 粤语片台 HYTV,p3p://108.181.32.169:40891/641022340009a273985f91092cb6113d
电影一台,p3p://108.181.32.169:40891/6410224e00097a01985ff68e53d22e70
CCM 天映经典,p3p://108.181.32.169:40891/64124d990007b0aaa0d9131033d9354a
CCM 天映经典 CN中英字幕,p3p://108.181.32.169:40891/64124dd500082194a0d9fd8d736a3dff
Celestial MY 天映,p3p://108.181.32.169:40891/64124df1000c3585a0da6bf812014c1a
Celestial MY 天映2,p3p://108.181.32.169:40891/64124e0f00045619a0dadf2552b73bf8
Celestial cn 天映2,p3p://108.181.32.169:40891/64124e2b000b454ba0db4e4b137c6137
SETI 三立国际,p3p://108.181.32.169:40891/64124e4200057913a0dba6a76ebf248c
Hits Movies,p3p://108.181.32.169:40891/6413852a000f0a74a59a235e4e1c318d
Comedy Central,p3p://108.181.32.169:40891/6413853b000926c2a59a644430b12c08
Kix HD,p3p://108.181.32.169:40891/6413854d000785b1a59aaa2924fa1aa7
Rugby Pass TV,p3p://108.181.32.169:40891/641385640003a0f9a59b02f333796f30
Sun TV MY,p3p://108.181.32.169:40891/64138578000a0b4da59b52b76a9552c0
Sun TVTataSky,p3p://108.181.32.169:40891/6413858800046ac8a59b8fc622de0dc9
Sun TV Tamil,p3p://108.181.32.169:40891/641385a2000d8ae7a59bf7ad23443b39
Star Vijay,p3p://108.181.32.169:40891/641385b300076a44a59c388327276d0a
STAR VIJAY india,p3p://108.181.32.169:40891/64f5a3ef000bd3723990b8062810502f
BollyOne HD,p3p://108.181.32.169:40891/641385e40004d28aa59cf74f015c1fc8
Astro Cricket,p3p://108.181.32.169:40891/6413863000096560a59e215b32a17cc3
Astro Vaanavil,p3p://108.181.32.169:40891/6413864100052c3da59e62ae01dd502f
Sun Music,p3p://108.181.32.169:40891/64138655000659f1a59eb11c4bb665a7
Sony Max,p3p://108.181.32.169:40891/6413866d000325caa59f0e0a0a6f3911
Set Sony,p3p://108.181.32.169:40891/6413868200096c30a59f61a5378b6035
oo7b Sony,p3p://108.181.32.169:40891/641386c1000c2bbfa5a05872576a61bd
Zee Cinema,p3p://108.181.32.169:40891/641386d30008a32fa5a09dda08bc5c0d
Zee TV,p3p://108.181.32.169:40891/641386e6000bfb90a5a0e8ee501f7fd5
Astro Colors,p3p://108.181.32.169:40891/641386f70003798da5a1292811a2387f
Colors HD TataSky,p3p://108.181.32.169:40891/6413870b00037690a5a177473df07376
Astro Adithya,p3p://108.181.32.169:40891/6413872200000fa0a5a1d03f37ed2010
Polimer news,p3p://108.181.32.169:40891/641387360006b6e4a5a2201438a0209c
Raj TV,p3p://108.181.32.169:40891/641387490003dee5a5a2699101f2025c
Jaya TV,p3p://108.181.32.169:40891/6413875c000e1e78a5a2b66900ee49b9
Chutti TV,p3p://108.181.32.169:40891/64138770000495faa5a30218116101b2
UTV movies,p3p://108.181.32.169:40891/64138783000ac99ca5a34de73976474e
Blue Ant Entertainm,p3p://108.181.32.169:40891/6413809e000478cba5885dbe4d29586c
Blue Ant Extreme,p3p://108.181.32.169:40891/641380b20005698fa588ac1c60782adf
CNN my,p3p://108.181.32.169:40891/641380c6000d7e73a588fc4e012b3240
CNN Indonesia Indonesia,p3p://108.181.32.169:40891/641380ea000891c1a58987ab53f905fa
CNBC my,p3p://108.181.32.169:40891/64138101000e328aa589e2f46ee85f3d
ABC Australia my,p3p://108.181.32.169:40891/6413811b0006e5f7a58a46a6057a4674
Sky News HD my,p3p://108.181.32.169:40891/641381340003e883a58aa78a57c53479
Bloomberg TV my,p3p://108.181.32.169:40891/6413814f000a6413a58b12ab52934c96
France 24 my,p3p://108.181.32.169:40891/6413816700069158a58b6f7a03cd341c
Euro news my,p3p://108.181.32.169:40891/6413817b0003393aa58bbcbf158b6409
FOX NEWS my,p3p://108.181.32.169:40891/6413818e000154fca58c067b60210765
MTV LIVE my,p3p://108.181.32.169:40891/641381a8000b2beaa58c6e90661462b5
NHK World my,p3p://108.181.32.169:40891/641381bd00065fefa58cbf5e66b171d0
BeIN Sports,p3p://108.181.32.169:40891/641381d2000619c4a58d112435007b6d
BeIN Max Sports,p3p://108.181.32.169:40891/641381e300044201a58d534366ce199d
WWE Network,p3p://108.181.32.169:40891/641381f6000cd704a58d9fae064d2ede
Golf Channel Uoo7 my,p3p://108.181.32.169:40891/64311ed10003b7461939aaa6737c19fe
Golf Channel tw,p3p://108.181.32.169:40891/64311ec30002641e1939739f2a9f6e82
Golf SuperSports,p3p://108.181.32.169:40891/64311edf000047af1939e0754ac733f5
HGTV HD,p3p://108.181.32.169:40891/64138230000a80f9a58e81a3428a31c6
HGTV TW,p3p://108.181.32.169:40891/641382440002a30ca58ecdbf74a8039c
AFC AFN,p3p://108.181.32.169:40891/641382600009923ea58f3ce6638b7516
TLC HD,p3p://108.181.32.169:40891/64138278000b9ab8a58f9b2b5a106790
TLC旅游生活,p3p://108.181.32.169:40891/6413828d000cff1da58fed8f7d2719cf
Food Network,p3p://108.181.32.169:40891/641382a10003769fa590393e3fb23f92
Asia Food Network,p3p://108.181.32.169:40891/641382ce0009fbafa590eab223060296
E! HD,p3p://108.181.32.169:40891/641382e1000e0ae1a59135f449455b3d
DMAX HD,p3p://108.181.32.169:40891/6413830e000184eea591e2872b6d66d2
Travel Channel,p3p://108.181.32.169:40891/6413832400050785a592395d1e6e5cd2
Travel,p3p://108.181.32.169:40891/6413833b0002906da592929427bc2047
CI 罪案侦查频道,p3p://108.181.32.169:40891/6413834e0001dcdfa592dc9e70500376
Animal Planet,p3p://108.181.32.169:40891/64138361000ebac2a5932a2128c72b2e
NatGeo,p3p://108.181.32.169:40891/6413837500016343a59374d77edf394b
NatGeo Wild HD,p3p://108.181.32.169:40891/6413838c000428cca593cf656569021f
HISTORY2,p3p://108.181.32.169:40891/641383a2000b3d73a59427257bb61a15
Discovery Science,p3p://108.181.32.169:40891/641383bd000eddc3a594917b13206375
Discovery Science TW,p3p://108.181.32.169:40891/641383d0000ded44a594db7641050686
Discovery Asia TW,p3p://108.181.32.169:40891/641383e2000df6c4a59521c82bec6fdc
Discovery Channel,p3p://108.181.32.169:40891/641383f300048101a59561c464b07293
BBC News HD,p3p://108.181.32.169:40891/641384e7000133cda5991a1b33cb3ea0
