春晚小品,#genre# 
相亲1,https://vd3.bdstatic.com/mda-ki5quadqsdi1tk9e/mda-ki5quadqsdi1tk9e.mp4?pd=-1&pt=0&cr=0&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=3024484252&vid=10808391094376007907&auth_key=1655295624-0-0-6fb10727b6c3c195f08ff9bebe036cd0&bcevod_channel=searchbox_feed 
相亲2,https://vd3.bdstatic.com/mda-kipkytij74rnn9k3/hd/mda-kipkytij74rnn9k3.mp4?pd=19&vt=1&playlist=%5B%22sc%22%2C%22hd%22%5D 
钟点工,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c8e2e53c77ua6v88gk9g&ratio=720p&line=0 
火炬手,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c54t79jc77u7est4rcn0&ratio=720p&line=0 
火炬手,https://vd3.bdstatic.com/mda-jar0302925j1nwep/hd/mda-jar0302925j1nwep.mp4?pd=19&vt=1&playlist=%5B%22hd%22%5D 
生日快乐,https://vd3.bdstatic.com/mda-mkskgzkzsgvgcntm/540p/h264_cae/1638023743815756700/mda-mkskgzkzsgvgcntm.mp4?pd=19&vt=1 
狭路相逢,https://vd3.bdstatic.com/mda-kd0mku18u3rui7gz/v1-cae/hd/mda-kd0mku18u3rui7gz.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D 
超级大明星,https://vd3.bdstatic.com/mda-ji3f9bxs1cxwmui7/hd/mda-ji3f9bxs1cxwmui7.mp4?pd=19&vt=1&playlist=%5B%22hd%22%5D 
阳仔演笑会2,https://vdse.bdstatic.com//b837548733e6bd32629f9134457ad811.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-06-14T12%3A24%3A48Z%2F-1%2Fhost%2F21b407cd58e7d2f39864128a9160659f1f4845e2cf4c01c6e2a3f30be1dbc557 
同桌的你,https://vd3.bdstatic.com/mda-kkfwqyn6sc4r5579/mda-kkfwqyn6sc4r5579.mp4?pd=19&vt=1 
中奖了,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c416nhbc77ueljqcfms0&ratio=720p&line=0 
有钱了,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c4mruerc77ua2hethfig&ratio=720p&line=0 
小草,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200f580000bqvq5p2kgg1hr4fgtkng&ratio=720p&line=0 
小九老乐,https://vd3.bdstatic.com/mda-maqs355itqp221rx/v2-hknm/hd/mda-maqs355itqp221rx.mp4?pd=19&vt=1 办班,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300f830000bqvq3vcssiod1f1acv10&ratio=720p&line=0 年前年后,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300f250000br00c6t03hnekstiv2rg&ratio=720p&line=0 卖梨,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200f850000bqvq43ueankk4sopbea0&ratio=720p&line=0 城市打工妹,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fb00000br0007k2v0nbugkvpqc0&ratio=720p&line=0 如此竞争,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fe60000br000frls1kbc9rjapeg&ratio=720p&line=0 儿子大了,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200f020000bqvq3u89lgt8of4fk0tg&ratio=720p&line=0 同学会,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200f9c0000brabn8v70gfhplsfi78g&ratio=720p&line=0 拜年,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0d00fg10000c83hhi3c77u01a8d7hp0&ratio=720p&line=0 辽宁小品,http://epg.112114.xyz/douyu/9322175 新虎口遐想,https://vd4.bdstatic.com/mda-jarfmdf8su7sckk3/hd/mda-jarfmdf8su7sckk3.mp4?auth_key=1655295819-0-0-df94f7531d93ff90ad12888c89a672ca&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3219421685&vid=8705230262897615568&abtest=all 冯巩郭冬临狗不理包子,https://vd2.bdstatic.com/mda-jdqwqnk1xxszhw8c/mda-jdqwqnk1xxszhw8c.mp4?pd=-1&pt=0&cr=0&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=2275698282&vid=17330773072848394300&auth_key=1655291275-0-0-73fe6c276ababcdb43b87a4fda6002df&bcevod_channel=searchbox_feed 牛群冯巩领导冒号,https://vdse.bdstatic.com//123b1e01f5128d0e71b4f392ec1a971c.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-06-12T06%3A54%3A23Z%2F-1%2Fhost%2F6274ff464fd635b6108aacc556df42224f265e9b3f4bd3a37a74cbdbf985d0b8 冯巩相声,https://vdse.bdstatic.com//65873c285f222c4cfeecf527f3e84259.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-06-15T09%3A55%3A46Z%2F-1%2Fhost%2F9119b3500a8e21fb21665d9576bbf410e5a0fa8904ccc1ce0d3aabde21c99c8a 牛群冯巩我的儿子,https://vdse.bdstatic.com//f27179e048a85dd2f00d16f6a13ac370.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-06-15T08%3A43%3A23Z%2F-1%2Fhost%2F026eb7ddc17de37a053903ceb90523b0265d8e5c7ed8eb5b20f5cc0de186f27c 牛群冯巩两个弄潮儿,https://vd3.bdstatic.com/mda-mkqdhm17rs7198m6/hd/cae_h264/1637859905115117938/mda-mkqdhm17rs7198m6.mp4?pd=19&vt=1 要条件,https://vd2.bdstatic.com/mda-kgah4byryi8gsqk8/v1-cae/mda-kgah4byryi8gsqk8.mp4?pd=-1&pt=0&cr=0&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=1347013120&vid=11361264719745011699&auth_key=1655290347-0-0-5dfca4bc79fbe4b6685de35fd1e0a622&bcevod_channel=searchbox_feed 岳云鹏相声给我个机会,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fab0000buf8p6s0srttfb9ulotg&ratio=720p&line=0 孔云龙扒马褂,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c7la4l3c77u5vs0abgs0&ratio=720p&line=0 经典小品[1920x1080],http://epg.112114.xyz/douyu/9067836 相声小品[960x540],http://epg.112114.xyz/douyu/9286868  🇹🇼
IPTV相声小品,http://58.252.12.164:8000/udp/239.77.1.84:5146 
经典小品,http://159.75.85.63:35455/huya/11352938
赵本山经小品,https://www.goodiptv.club/douyu/9817716 
开心麻花小品,https://www.goodiptv.club/douyu/10153463 
宋小宝小品台,https://www.goodiptv.club/douyu/9817729
赵本山小品,http://120.77.28.4:8648/yy.php?id=1354936217
爆笑小品,https://live.metshop.top/yy/1354931503
德云郭德纲相声,https://live.metshop.top/huya/25343324 
相声相声搜38528频道,https://live.metshop.top/yy/34025318 📺
 电影｜轮播,#genre#

未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
经典武侠,http://159.75.85.63:35455/douyu/338759 
邵氏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519 
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv 
重温经典,http://36.108.172.237:10005/stream/channelid/1658622386?ticket=cee7f3f6fd238a746e4e7a2b018ee411947ffe3d&profile=pass 
重温经典,http://36.108.172.237:10097/stream/channelid/1129822714 
重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1K
极速经典电影1,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
极速经典电影2,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
极速经典电影3,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
星光视界频道,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
楚汉骄雄,http://cfss.cc/cdn/hy/23740156.flv
封神榜,http://cfss.cc/cdn/hy/23749096.flv
西游记1,http://cfss.cc/cdn/hy/23728660.flv
西游记2,http://cfss.cc/cdn/hy/23735126.flv
天龙八部,http://cfss.cc/cdn/hy/23903123.flv
鹿鼎记,https://lunbo.freetv.top/yy/1354658049
鹿鼎记,http://cfss.cc/cdn/hy/23865080.flv
寻秦记,http://cfss.cc/cdn/hy/23864973.flv
大唐双龙传,http://cfss.cc/cdn/hy/23728674.flv
神雕侠侣,http://cfss.cc/cdn/hy/11352964.flv
神雕侠侣,http://cfss.cc/cdn/hy/23865171.flv
射雕英雄传,http://cfss.cc/cdn/hy/23824164.flv
倚天屠龙记,http://cfss.cc/cdn/hy/11342403.flv
倚天屠龙记,http://cfss.cc/cdn/hy/23734246.flv
笑傲江湖,http://cfss.cc/cdn/hy/26355790.flv
笑傲江湖,http://cfss.cc/cdn/hy/23865142.flv
黄渤电影,http://cfss.cc/cdn/hy/11352876.flv
强森电影,http://cfss.cc/cdn/hy/21059581.flv
新三国,http://cfss.cc/cdn/hy/11352944.flv
新水浒传,http://cfss.cc/cdn/hy/11342384.flv
神探狄仁杰第三部,http://cfss.cc/cdn/hy/11342425.flv
爱情公寓,http://cfss.cc/cdn/hy/11336726.flv
铁齿铜牙纪晓岚,http://cfss.cc/cdn/hy/11342396.flv
士兵突击,http://cfss.cc/cdn/hy/11342430.flv
康熙王朝,http://cfss.cc/cdn/hy/11352940.flv
鬼吹灯之精绝古城,http://cfss.cc/cdn/hy/11352871.flv
鬼吹灯之怒晴湘西,http://cfss.cc/cdn/hy/11602075.flv
鬼吹灯之龙岭迷窟,http://cfss.cc/cdn/hy/29465863.flv
鬼吹灯之云南虫谷,http://cfss.cc/cdn/hy/11352898.flv
星际穿越,https://api.heimuer.app/play/f9b471ddd1ee425bb3c64a24f82561be.m3u8
美国队长,https://www.goodiptv.club/yy/1382736813
变形金刚,http://159.75.85.63:35455/yy/1382736803
九品芝麻官,https://www.goodiptv.club/yy/1354930968

我不是药神,https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8
让子弹飞,https://vip.ffzy-play7.com/20230116/11563_b9f44814/index.m3u8
家庭影院,http://211.158.153.199:8004/udp/225.0.4.171:7980
家庭影院,http://222.218.158.86:8181/tsfile/live/1018_1.m3u8
家庭影院,http://video.qd.sdu.edu.cn/liverespath/449d51febadb152094085d373b9af94a6ac5f1dd/index.m3u8
家庭影院,http://219.159.194.66:8181/tsfile/live/1018_1.m3u8
家庭影院,http://113.15.187.190:8181/tsfile/live/1018_1.m3u8
超级电影,http://www.72444165.xyz:5005/itv/ystenlive/1000000003000012426
经典电影,http://113.57.20.158:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://222.218.158.86:8181/tsfile/live/1008_1.m3u8
经典电影,http://219.159.194.66:8181/tsfile/live/1008_1.m3u8
经典电影,http://121.24.98.232:8090/hls/103/index.m3u8
经典电影,http://61.163.181.78:9901/tsfile/live/1059_1.m3u8
哈利波特全集,http://cfss.cc/cdn/yy/1382745105.m3u8
哈利波特全集,http://mitv.ts138.top/yy/1382745105
哈利波特全集,http://159.75.85.63:35455/yy/1382745105
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
龙门飞甲,http://jsmov2.a.yximgs.com/bs3/video-hls/5203346449046555193_hlsb.m3u8
龙门飞甲,https://cdn2.yzzy-tv-cdn.com/20220331/4883_7f84c204/index.m3u8
龙门飞甲,https://vip.ffzy-play6.com/20221204/9575_e7d99a3f/2000k/hls/mixed.m3u8
寒战1,https://vip.ffzy-play6.com/20221019/157_bf0740ee/index.m3u8
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
人在囧途,http://jsmov2.a.yximgs.com/bs3/video-hls/5239093847755471351_hlsb.m3u8
人在囧途之泰囧,https://vip.ffzy-play.com/20221018/1951_47e1adc8/index.m3u8
人在囧途之港囧,https://vip.ffzy-play7.com/20230112/11082_fde1a94d/index.m3u8
人在囧途之囧妈,https://vip.ffzy-online.com/20230122/54089_b5925cb9/index.m3u8
无间道1,https://vip.ffzy-play6.com/20221017/13_ddfc1740/index.m3u8
拆弹专家1,https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8
拆弹专家2,https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8
卧虎藏龙,https://vip.ffzy-play6.com/20221019/118_1367b8f6/index.m3u8
满城尽带黄金甲,https://vip.ffzy-play2.com/20221022/289_cc1b109c/index.m3u8
陈情令,http://cfss.cc/cdn/hy/29465862.flv
大时代,http://cfss.cc/cdn/hy/23865161.flv
陀枪师姐,http://cfss.cc/cdn/hy/23860039.flv
阴阳师,https://svip.high22-playback.com/20240731/5755_91995ca9/index.m3u8
哥斯拉大战金刚2帝国崛起,https://api.heimuer.app/play/6f3edeb2885149e4b30f676e8a94ef3b.m3u8
绝地战警生死与共,https://v3.tlkqc.com/wjv3/202406/12/gFunRiZvHb75/video/index.m3u8
异形寄生起源,https://api.heimuer.app/play/3e9be3a5080c46449dbc355c9cb8baec.m3u8
狄仁杰之天宫蜃楼,https://v9.tlkqc.com/wjv9/202408/06/p7712pXCuV81/video/index.m3u8
鬼舞村诅咒起源,https://v12.tlkqc.com/wjv12/202408/04/UJGTrrEASp84/video/index.m3u8
毒液致命守护者,https://www.goodiptv.club/yy/1382745095
魔戒首部曲魔戒现身,https://api.heimuer.app/play/d10849d4be514bfeb5de7b6ff8bdfb5a.m3u8
魔戒首部曲魔戒现身,https://vip.ffzy-play7.com/20230411/22167_a385d245/2000k/hls/mixed.m3u8
魔戒二部曲双城奇谋,https://vip.ffzy-play7.com/20221127/7286_672b6ffa/2000k/hls/mixed.m3u8
魔戒二部曲双城奇谋,https://api.heimuer.app/play/4c017a32d1a7478696e4b78d95774ccc.m3u8
魔戒三部曲王者再临,https://vip.ffzy-play6.com/20221017/19_8752ff61/2000k/hls/mixed.m3u8
魔戒三部曲王者再临,https://api.heimuer.app/play/bd885bde48d742068df66e382a8db7a7.m3u8
漫威剧情原,http://159.75.85.63:35455/douyu/6140589
霍格沃茨原,http://159.75.85.63:35455/douyu/8814650
欧美大片原,http://159.75.85.63:35455/douyu/2793084
贝爷max原,http://159.75.85.63:35455/douyu/4332
贝爷影厅原,http://159.75.85.63:35455/douyu/252802
鱼宝恐怖原,http://159.75.85.63:35455/douyu/1165374
吃奶滴虫原,http://159.75.85.63:35455/douyu/263824
喜剧电影原,http://159.75.85.63:35455/douyu/9292492
避风影院原,http://159.75.85.63:35455/douyu/9826611
吃米滴虫原,http://159.75.85.63:35455/douyu/315457
冰冰经典原,http://159.75.85.63:35455/douyu/74374
星爷影院原,http://159.75.85.63:35455/douyu/508118
瑶瑶恐怖原,http://159.75.85.63:35455/douyu/2935323
怡宝影院原,http://159.75.85.63:35455/douyu/434971
小黛兮影原,http://159.75.85.63:35455/douyu/11553944
萌小鬼片原,http://159.75.85.63:35455/douyu/3928
神乐影剧原,http://159.75.85.63:35455/douyu/122402
可乐影院原,http://159.75.85.63:35455/douyu/20415
小宇60帧原,http://159.75.85.63:35455/douyu/323876
恐怖惊悚原,http://159.75.85.63:35455/douyu/96577
电影剧场原,http://159.75.85.63:35455/douyu/7575350
豆瓣高分原,http://159.75.85.63:35455/douyu/8770422
无间道3终极无间,https://vip.ffzy-play2.com/20221127/1567_f1965b4b/index.m3u8
电影赛车,http://cfss.cc/cdn/hy/11279247.flv
电影赛车,http://diyp.zxxoo.work/huya/11279247
电影死神来了,http://cfss.cc/cdn/hy/11352903.flv
电影死神来了,http://diyp.zxxoo.work/huya/11352903
电影推荐,http://cfss.cc/cdn/hy/11602041.flv
电影推荐,http://diyp.zxxoo.work/huya/11602041
电影蜘蛛侠,http://cfss.cc/cdn/hy/21059599.flv
电影蜘蛛侠,http://diyp.zxxoo.work/huya/21059599
电影变形金刚,http://cfss.cc/cdn/hy/21059596.flv
电影变形金刚,http://diyp.zxxoo.work/huya/21059596
林正英,http://204bae1.123nat.com:35455/yy/30668277
林正英,http://204bae1.123nat.com:35455/yy/1351505899
林正英,http://204bae1.123nat.com:35455/yy/1353685311
林正英,http://diyp.zxxoo.work/douyu/7356023
杰森斯坦森,http://diyp.zxxoo.work/huya/21059588
杰森斯坦森,http://cfss.cc/cdn/hy/21059588.m3u8
电影英叔,http://diyp.zxxoo.work/huya/11342421
电影黄渤,http://diyp.zxxoo.work/huya/11352876
电影周星星,http://cfss.cc/cdn/hy/11336587.flv
电影周星星,http://diyp.zxxoo.work/huya/11336587
电影成龙,http://cfss.cc/cdn/hy/11342386.flv
电影成龙,http://diyp.zxxoo.work/huya/11342386
电影洪金宝,http://cfss.cc/cdn/hy/11279251.flv
电影洪金宝,http://diyp.zxxoo.work/huya/11279251
电影星爷,http://diyp.zxxoo.work/huya/11342412
电影强森,http://diyp.zxxoo.work/huya/21059581
电影沈腾,http://diyp.zxxoo.work/huya/11601968
电影李连杰,http://diyp.zxxoo.work/huya/11342390
电影梁家辉,http://cfss.cc/cdn/hy/11342429.flv
电影梁家辉,http://diyp.zxxoo.work/huya/11342429
电影刘德华,http://cfss.cc/cdn/hy/11342424.flv
电影刘德华,http://diyp.zxxoo.work/huya/11342424
电影怪兽,http://cfss.cc/cdn/hy/21059577.flv
电影怪兽,http://diyp.zxxoo.work/huya/21059577
电影喜乐影院,http://cfss.cc/cdn/hy/21059580.flv
电影喜乐影院,http://diyp.zxxoo.work/huya/21059580
电影喜剧专场,http://cfss.cc/cdn/hy/11602044.flv
电影喜剧专场,http://diyp.zxxoo.work/huya/11602044
电影救援,http://cfss.cc/cdn/hy/21059594.flv
电影救援,http://diyp.zxxoo.work/huya/21059594
电影玄幻,http://cfss.cc/cdn/hy/11342414.flv
电影玄幻,http://diyp.zxxoo.work/huya/11342414
电影古墓系列,http://cfss.cc/cdn/hy/11352913.flv
电影古墓系列,http://diyp.zxxoo.work/huya/11352913
电影功夫片,http://diyp.zxxoo.work/huya/11352941
电影高能反转,http://diyp.zxxoo.work/huya/11352887
电影高能反转,http://cfss.cc/cdn/hy/11352887.flv
电影罪犯,http://cfss.cc/cdn/hy/11352962.flv
电影罪犯,http://diyp.zxxoo.work/huya/11352962
电影盗墓,http://cfss.cc/cdn/hy/21059552.flv
电影盗墓,http://diyp.zxxoo.work/huya/21059552
电影犯罪片,http://cfss.cc/cdn/hy/11352974.flv
电影犯罪片,http://diyp.zxxoo.work/huya/11352974
电影不挤影院,http://cfss.cc/cdn/hy/11352897.flv
电影不挤影院,http://diyp.zxxoo.work/huya/11352897
电影武侠,http://cfss.cc/cdn/hy/11342427.flv
电影武侠,http://diyp.zxxoo.work/huya/11342427
电影黑帮片,http://cfss.cc/cdn/hy/11336719.flv
电影黑帮片,http://diyp.zxxoo.work/huya/11336719
电影丧尸片,http://cfss.cc/cdn/hy/21059578.flv
电影丧尸片,http://diyp.zxxoo.work/huya/21059578
电影动作电影,http://cfss.cc/cdn/hy/11602077.flv
电影动作电影,http://diyp.zxxoo.work/huya/11602077
电影战争片,http://cfss.cc/cdn/hy/21059574.flv
电影战争片,http://diyp.zxxoo.work/huya/21059574
电影搞笑喜剧,http://cfss.cc/cdn/hy/11342423.flv
电影搞笑喜剧,http://diyp.zxxoo.work/huya/11342423
电影搞笑恐怖,http://cfss.cc/cdn/hy/11601960.flv
电影搞笑恐怖,http://diyp.zxxoo.work/huya/11601960
电影枪战,http://cfss.cc/cdn/hy/21059579.flv
电影枪战,http://diyp.zxxoo.work/huya/21059579
电影热血,http://diyp.zxxoo.work/huya/11352934
电影热血,http://cfss.cc/cdn/hy/11352934.flv
电影经典女神,http://cfss.cc/cdn/hy/11352909.flv
电影经典女神,http://diyp.zxxoo.work/huya/11352909
电影许氏三杰,http://cfss.cc/cdn/hy/11602033.flv
电影许氏三杰,http://diyp.zxxoo.work/huya/11602033
电影谍战,http://cfss.cc/cdn/hy/21059585.flv
电影谍战,http://diyp.zxxoo.work/huya/21059585
电影谍战片,http://cfss.cc/cdn/hy/21059587.flv
电影谍战片,http://diyp.zxxoo.work/huya/21059587
电影贺岁,http://cfss.cc/cdn/hy/11601971.flv
电影贺岁,http://diyp.zxxoo.work/huya/11601971
电影贺岁片,http://diyp.zxxoo.work/huya/11601986
海绵宝宝,http://159.75.85.63:35455/huya/11352919?cdn=hscdn
海绵宝宝,http://diyp.zxxoo.work/huya/11352919
海绵宝宝,http://159.75.85.63:35455/huya/11352919?cdn=hwcdn
猫和老鼠,http://cfss.cc/cdn/hy/11352879.m3u8
蜡笔小新,http://cfss.cc/cdn/hy/11352970.m3u8
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be.flv
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8?zanhd
河北平泉影视,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
黑龙江哈尔滨影视,https://stream.hrbtv.net/yspd/sd/live.m3u8
新疆石河子影视文体,http://124.88.144.73:1935/live/jjsh/playlist.m3u8
广东影视,http://www.zzlag.top:9087/tsfile/live/1040_1.m3u8?key=txiptv
鉴证实录,http://cfss.cc/cdn/hy/23903183.flv
雪豹,http://cfss.cc/cdn/hy/29580970.flv
直播熊猫,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
哈利波特死神的圣物,https://ikcdn01.ikzybf.com/20221105/DABRajDL/index.m3u8
哈利波特消失的密室,https://v1.fentvoss.com/sdv1/202308/19/7pizD2d5YN2/video/index.m3u8
哈利波特混血王子的背叛,https://v1.fentvoss.com/sdv1/202308/19/jZ4qXuUYMH2/video/index.m3u8
哈利波特火杯的考验,https://ikcdn01.ikzybf.com/20221210/qYaADoTA/index.m3u8
凌儿影院原,http://159.75.85.63:35455/douyu/1377142
变种人片原,http://159.75.85.63:35455/douyu/9651304
女神电影原,http://159.75.85.63:35455/douyu/747764
花卷陪看原,http://159.75.85.63:35455/douyu/52787
无间道2,https://vip.ffzy-play6.com/20221017/14_4ab5bf5e/2000k/hls/mixed.m3u8
无间道2,https://alimov2.a.kwimgs.com/upic/2021/02/09/10/BMjAyMTAyMDkxMDQ0NThfNDAzMDAxOTlfNDM4NTkyODc0MjhfMF8z_b_Bce206fcc2f84121a4d887259d7c5100b.mp4
嘉兴文化影视,http://play-a2.quklive.com/live/1675149625220101.m3u8

水底惊魂,https://vip.ffzy-online1.com/20230809/42761_a8fdcec1/index.m3u8
死人之岛,https://vip.ffzy-online1.com/20230809/42762_6e99b0eb/index.m3u8
死亡阴影,https://vip.ffzy-online1.com/20230809/42763_c687ce4c/index.m3u8
凶灵再现,https://vip.ffzy-online1.com/20230809/42770_356c31da/index.m3u8
电视剧频道,#genre#
电视剧频道1,http://zby.xjqxz.top/dsdsj1/live.m3u8
电视剧频道3,http://zby.xjqxz.top/dsdsj3/live.m3u8
电视剧频道4,http://zby.xjqxz.top/gzwxj/live.m3u8
电视剧频道6,http://zby.xjqxz.top/gzdsj1/live.m3u8
电视剧频道7,http://zby.xjqxz.top/gzdsj2/live.m3u8
电视剧频道8,http://zby.xjqxz.top/gzdsj3/live.m3u8
电视剧频道9,http://zby.xjqxz.top/gzdsj4/live.m3u8
