
公告,#genre#
周杰伦现场,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=zjlxc
最强综艺趴,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=zqzyp
熊猫0,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xmpd
熊猫1,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xm1
熊猫2,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xm2
熊猫3,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xm3
熊猫4,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xm4
熊猫5,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xm5
熊猫6,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xm6
熊猫7,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xm7
熊猫8,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xm8
熊猫9,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xm9
熊猫10,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xm10

极速,#genre#

中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
東森新聞,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
千禧經典台(HK),http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
Animax(HK),http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
東方衛視國際頻道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
KIX,http://aktv.top/AKTV/live/aktv3/kix/AKTV.m3u8
Nick Jr,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
Nickelodeon,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8
AXN,http://aktv.top/AKTV/live/aktv2/axn/AKTV.m3u8
i-Fun 動漫台,http://aktv.top/AKTV/live/aktv2/ifun/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
NHK東京総合,http://aktv.top/AKTV/live/aktv3/nhk/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv2/lovenaturehd/AKTV.m3u8
Astro iQIYI,http://aktv.top/AKTV/live/aktv3/astroiqiyi/AKTV.m3u8
Astro Xing He,http://aktv.top/AKTV/live/aktv3/astroxinghe/AKTV.m3u8
Astro AEC,http://aktv.top/AKTV/live/aktv3/astroaec/AKTV.m3u8
纬来体育台,http://aktv.top/AKTV/live/aktv3/null-1/AKTV.m3u8
体育,#genre#
NBA咪咕播01,http://li0580.top:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive
NBA咪咕播02,http://li0580.top:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive
NBA咪咕播03,http://li0580.top:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive
NBA咪咕播04,http://li0580.top:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive
NBA咪咕播05,http://li0580.top:35455/itv/3000000001000008176.m3u8?cdn=FifastbLive
NBA咪咕播06,http://li0580.top:35455/itv/3000000001000008379.m3u8?cdn=FifastbLive
NBA咪咕播07,http://li0580.top:35455/itv/3000000001000010129.m3u8?cdn=FifastbLive
NBA咪咕播08,http://li0580.top:35455/itv/3000000001000010948.m3u8?cdn=FifastbLive
NBA咪咕播09,http://li0580.top:35455/itv/3000000001000026778.m3u8?cdn=FifastbLive
NBA咪咕播10,http://li0580.top:35455/itv/3000000001000028638.m3u8?cdn=FifastbLive
NBA咪咕播11,http://li0580.top:35455/itv/3000000001000031494.m3u8?cdn=FifastbLive
NBA咪咕播12,http://li0580.top:35455/itv/3000000010000000097.m3u8?cdn=FifastbLive
NBA咪咕播13,http://li0580.top:35455/itv/3000000010000002019.m3u8?cdn=FifastbLive
NBA咪咕播14,http://li0580.top:35455/itv/3000000010000002032.m3u8?cdn=FifastbLive
NBA咪咕播15,http://li0580.top:35455/itv/3000000010000002809.m3u8?cdn=FifastbLive
NBA咪咕播16,http://li0580.top:35455/itv/3000000010000003915.m3u8?cdn=FifastbLive
NBA咪咕播17,http://li0580.top:35455/itv/3000000010000004193.m3u8?cdn=FifastbLive
NBA咪咕播18,http://li0580.top:35455/itv/3000000010000004464.m3u8?cdn=FifastbLive
NBA咪咕播19,http://li0580.top:35455/itv/3000000010000005837.m3u8?cdn=FifastbLive
NBA咪咕播20,http://li0580.top:35455/itv/3000000010000006077.m3u8?cdn=FifastbLive
NBA咪咕播21,http://li0580.top:35455/itv/3000000010000006658.m3u8?cdn=FifastbLive
NBA咪咕播22,http://li0580.top:35455/itv/3000000010000006944.m3u8?cdn=FifastbLive
NBA咪咕播23,http://li0580.top:35455/itv/3000000010000007692.m3u8?cdn=FifastbLive
NBA咪咕播24,http://li0580.top:35455/itv/3000000010000009788.m3u8?cdn=FifastbLive
NBA咪咕播25,http://li0580.top:35455/itv/3000000010000010833.m3u8?cdn=FifastbLive
NBA咪咕播26,http://li0580.top:35455/itv/3000000010000011112.m3u8?cdn=FifastbLive
NBA咪咕播27,http://li0580.top:35455/itv/3000000010000011297.m3u8?cdn=FifastbLive
NBA咪咕播28,http://li0580.top:35455/itv/3000000010000011518.m3u8?cdn=FifastbLive
NBA咪咕播29,http://li0580.top:35455/itv/3000000010000011763.m3u8?cdn=FifastbLive
NBA咪咕播30,http://li0580.top:35455/itv/3000000010000011873.m3u8?cdn=FifastbLive
NBA咪咕播31,http://li0580.top:35455/itv/3000000010000012398.m3u8?cdn=FifastbLive
NBA咪咕播32,http://li0580.top:35455/itv/3000000010000012450.m3u8?cdn=FifastbLive
NBA咪咕播33,http://li0580.top:35455/itv/3000000010000012558.m3u8?cdn=FifastbLive
NBA咪咕播34,http://li0580.top:35455/itv/3000000010000012616.m3u8?cdn=FifastbLive
NBA咪咕播35,http://li0580.top:35455/itv/3000000010000015470.m3u8?cdn=FifastbLive
NBA咪咕播36,http://li0580.top:35455/itv/3000000010000015560.m3u8?cdn=FifastbLive
NBA咪咕播37,http://li0580.top:35455/itv/3000000010000017389.m3u8?cdn=FifastbLive
NBA咪咕播38,http://li0580.top:35455/itv/3000000010000017678.m3u8?cdn=FifastbLive
NBA咪咕播39,http://li0580.top:35455/itv/3000000010000017997.m3u8?cdn=FifastbLive
NBA咪咕播40,http://li0580.top:35455/itv/3000000010000019380.m3u8?cdn=FifastbLive
NBA咪咕播41,http://li0580.top:35455/itv/3000000010000019839.m3u8?cdn=FifastbLive
NBA咪咕播42,http://li0580.top:35455/itv/3000000010000020168.m3u8?cdn=FifastbLive
NBA咪咕播43,http://li0580.top:35455/itv/3000000010000021904.m3u8?cdn=FifastbLive
NBA咪咕播44,http://li0580.top:35455/itv/3000000010000023434.m3u8?cdn=FifastbLive
NBA咪咕播45,http://li0580.top:35455/itv/3000000010000024205.m3u8?cdn=FifastbLive
NBA咪咕播46,http://li0580.top:35455/itv/3000000010000024691.m3u8?cdn=FifastbLive
NBA咪咕播47,http://li0580.top:35455/itv/3000000010000025380.m3u8?cdn=FifastbLive
NBA咪咕播48,http://li0580.top:35455/itv/3000000010000025943.m3u8?cdn=FifastbLive
NBA咪咕播49,http://li0580.top:35455/itv/3000000010000027318.m3u8?cdn=FifastbLive
NBA咪咕播50,http://li0580.top:35455/itv/3000000010000027638.m3u8?cdn=FifastbLive
NBA咪咕播51,http://li0580.top:35455/itv/3000000010000027691.m3u8?cdn=FifastbLive
NBA咪咕播52,http://li0580.top:35455/itv/3000000010000031669.m3u8?cdn=FifastbLive
NBA咪咕播53,http://li0580.top:35455/itv/3000000010000032106.m3u8?cdn=FifastbLive
NBA咪咕壹4K,http://li0580.top:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
NBA咪咕贰4K,http://li0580.top:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive

轮播,#genre#
CHC动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt
CHC影迷电影,http://eastscreen.tv/ooooo.php?id=chchd
CHC影迷电影,http://113.195.172.192:808/hls/112/index.m3u8
CHC家庭影院,http://113.195.172.192:808/hls/113/index.m3u8
CHC动作电影,http://113.195.172.192:808/hls/114/index.m3u8
第一滴血全集,http://jiaojirentv.top/2020/yy.php?id=1354932355
敢死队全轮播,http://jiaojirentv.top/2020/yy.php?id=1382735573
速度与激情集,http://jiaojirentv.top/2020/yy.php?id=1382736911
漫威系列轮播,http://jiaojirentv.top/2020/yy.php?id=1354932402
变形金刚轮播,http://jiaojirentv.top/2020/yy.php?id=1382736803
哈利波特全集,http://jiaojirentv.top/2020/yy.php?id=1382745105
夺宝奇兵全集,http://jiaojirentv.top/2020/yy.php?id=1382736833
机械战警全集,http://jiaojirentv.top/2020/yy.php?id=1382736854
古惑仔国轮播,http://jiaojirentv.top/2020/yy.php?id=1458015189
黑衣一二轮播,http://jiaojirentv.top/2020/yy.php?id=1354930936
叠影重重全集,http://jiaojirentv.top/2020/yy.php?id=1382735570
83射雕英雄传,http://jiaojirentv.top/2020/yy.php?id=1354210357
95神雕侠侣粤,http://jiaojirentv.top/2020/yy.php?id=1354926637
96笑傲江湖版,http://jiaojirentv.top/2020/yy.php?id=1354930909
87经典红楼梦,http://jiaojirentv.top/2020/yy.php?id=1382745084
新白娘子轮播,http://jiaojirentv.top/2020/yy.php?id=1354930969
仙剑奇侠传剧,http://jiaojirentv.top/2020/yy.php?id=1382749903
花千骨电视剧,http://jiaojirentv.top/2020/yy.php?id=1354943110
少年歌行剧集,http://jiaojirentv.top/2020/yy.php?id=1450556636
鹊刀门传奇剧,http://jiaojirentv.top/2020/yy.php?id=1355344777
林正英 1,http://zzy789.xyz/douyu1.php?id=7356023
林正英 2,http://zzy789.xyz/douyu1.php?id=218859
斗鱼频道,http://zzy789.xyz/douyu1.php?id=8770422
斗鱼频道,http://zzy789.xyz/douyu1.php?id=218859
斗鱼频道,http://zzy789.xyz/douyu1.php?id=413573
斗鱼频道,http://zzy789.xyz/douyu1.php?id=9292492
鬼片恐怖,http://zzy789.xyz/douyu1.php?id=2935323
恐怖故事,http://zzy789.xyz/douyu1.php?id=2337939
怡寳影院,http://zzy789.xyz/douyu1.php?id=434971
粤语电影,http://zzy789.xyz/douyu1.php?id=6566671
苹果影院,http://zzy789.xyz/douyu1.php?id=2793084
午夜故事,http://zzy789.xyz/douyu1.php?id=8722254
译制国语,http://zzy789.xyz/douyu1.php?id=2436390
蚂蚱影院,http://zzy789.xyz/douyu1.php?id=6079455
纪录片,http://zzy789.xyz/douyu1.php?id=4360438
贝爷求生,http://zzy789.xyz/douyu1.php?id=454867
恐怖丧尸鬼片,http://zzy789.xyz/douyu1.php?id=263824
斗鱼电影10,http://zzy789.xyz/douyu1.php?id=2935323
斗鱼电影22,http://zzy789.xyz/douyu1.php?id=1979257
斗鱼电影26,http://zzy789.xyz/douyu1.php?id=8413092
斗鱼电影71,http://zzy789.xyz/douyu1.php?id=2987100
斗鱼电影81,http://zzy789.xyz/douyu1.php?id=3870925
斗鱼电影97,http://zzy789.xyz/douyu1.php?id=8867878
斗鱼电影105,http://zzy789.xyz/douyu1.php?id=4290711
斗鱼电影108,http://zzy789.xyz/douyu1.php?id=6566671
斗鱼电影110,http://zzy789.xyz/douyu1.php?id=8415464
斗鱼电影111,http://zzy789.xyz/douyu1.php?id=8475821
斗鱼电影113,http://zzy789.xyz/douyu1.php?id=5522351
斗鱼电影114,http://zzy789.xyz/douyu1.php?id=562225
斗鱼电影116,http://zzy789.xyz/douyu1.php?id=8651489
斗鱼电影117,http://zzy789.xyz/douyu1.php?id=338759
斗鱼电影120,http://zzy789.xyz/douyu1.php?id=5354713
斗鱼电影124,http://zzy789.xyz/douyu1.php?id=2793084
斗鱼电影125,http://zzy789.xyz/douyu1.php?id=5067952
斗鱼电影129,http://zzy789.xyz/douyu1.php?id=413573
斗鱼电影130,http://zzy789.xyz/douyu1.php?id=8014467
斗鱼电影134,http://zzy789.xyz/douyu1.php?id=6725858
斗鱼电影135,http://zzy789.xyz/douyu1.php?id=7476264
斗鱼电影137,http://zzy789.xyz/douyu1.php?id=1274132
斗鱼电影141,http://zzy789.xyz/douyu1.php?id=7623292
斗鱼电影145,http://zzy789.xyz/douyu1.php?id=5033502
斗鱼电影151,http://zzy789.xyz/douyu1.php?id=426517
斗鱼电影153,http://zzy789.xyz/douyu1.php?id=8799435
斗鱼电影155,http://zzy789.xyz/douyu1.php?id=4258555
斗鱼电影158,http://zzy789.xyz/douyu1.php?id=8788687
斗鱼电影165,http://zzy789.xyz/douyu1.php?id=8705754
斗鱼电影169,http://zzy789.xyz/douyu1.php?id=7528160

堆堆,#genre#
QQ群1002177514
埋堆堆01,http://live.nctv.top/6688/huya.php?id=23749096
埋堆堆02,http://live.nctv.top/6688/huya.php?id=23735126
埋堆堆03,http://live.nctv.top/6688/huya.php?id=23740156
埋堆堆04,http://live.nctv.top/6688/huya.php?id=23728660
埋堆堆05,http://live.nctv.top/6688/huya.php?id=23865080
埋堆堆06,http://live.nctv.top/6688/huya.php?id=23863804
埋堆堆07,http://live.nctv.top/6688/huya.php?id=23864973
埋堆堆08,http://live.nctv.top/6688/huya.php?id=23734169
埋堆堆09,http://live.nctv.top/6688/huya.php?id=23865171
埋堆堆10,http://live.nctv.top/6688/huya.php?id=23903130
埋堆堆11,http://live.nctv.top/6688/huya.php?id=23860039
埋堆堆12,http://live.nctv.top/6688/huya.php?id=23865142
埋堆堆13,http://live.nctv.top/6688/huya.php?id=23903123
埋堆堆14,http://live.nctv.top/6688/huya.php?id=23734183
埋堆堆15,http://live.nctv.top/6688/huya.php?id=23734256
埋堆堆16,http://live.nctv.top/6688/huya.php?id=23903183
埋堆堆17,http://live.nctv.top/6688/huya.php?id=23903196
