🎵1月28测试有效,#genre#
CCTV2,http://mgsp-hs2.live.miguvideo.com:8088/migu/kailu/cctv2hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20250128184644&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=63178053220250128027&ParentNodeID=-99&assertID=5500346945&client_ip=1.62.81.39&SecurityKey=20250128184644&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=87ac092f5e040831f9fe30ac62701ead&is_advertise=0&jid=8f9f503dd23d951dbdb8d99dd6de9053&sjid=subsession_1738061204889&mtv_session=f3ad7fcd08882c902bde5b31c12b7cfc&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=7bffd9b797926d205a4327d55afbca15

CCTV3,http://mgsp-hs2.live.miguvideo.com:8088/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20250128184701&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=62487827120250128016&ParentNodeID=-99&assertID=5500212864&client_ip=1.62.81.39&SecurityKey=20250128184701&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=3771dcc06b664545a07ad80dc29fcee5&is_advertise=0&jid=b655d51a7acaacdf88748401a3ec2dd4&sjid=subsession_1738061221717&mtv_session=d89c0c73766c8df3e27c27246ba3b34d&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d2a6df73677a57bcad3f84ba9e075deb

CCTV4,http://mgsp-tx2.live.miguvideo.com:8088/migu/kailu/cctv4hd265/57/20191230/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20250128184719&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=63178042120250128025&ParentNodeID=-99&assertID=5500346947&client_ip=1.62.81.39&SecurityKey=20250128184719&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=6cf03b5ea4510439cb9f19c70ebb0aba&is_advertise=0&jid=760d5ca938898d62c328b1e4bb2302f2&sjid=subsession_1738061239569&mtv_session=2bcf6cc5b1bcda2a7a7cf30fee8bb388&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=bb7f60bd52913008ab170fa95c984d1d

CCTV5,http://mgsp-hs2.live.miguvideo.com:8088/migu/kailu/cctv5hd265/57/20191230/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20250128184738&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=64188668320250128017&ParentNodeID=-99&assertID=5500516171&client_ip=1.62.81.39&SecurityKey=20250128184738&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=6adbeafb8e67952c4c6ebe8a17b9c3cc&is_advertise=0&jid=f2a4236f46e5a5b3a270318215b4d0ee&sjid=subsession_1738061258183&mtv_session=02ae61eba8e842bd13c31f4e1d9dbced&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b8bb182d889a4ccf9ef29cfab3ca4fa3

CCTV5+,http://mgsp-ws2.live.miguvideo.com:8088/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500516288&pid=2028597139&timestamp=20250128184754&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=64188677320250128014&ParentNodeID=-99&assertID=5500516288&client_ip=1.62.81.39&SecurityKey=20250128184754&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=eb8615beaa517d7145ecb62fb43c8825&is_advertise=0&jid=aaaad775f7528ece7f1c7b0c4b54383b&sjid=subsession_1738061273951&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=64d79ca33bf5f314c3ac74fbfb3c081d&encrypt=95c92107efb29012043ba2a7fd2a4c49



CCTV6,http://mgsp-tx2.live.miguvideo.com:8088/migu/kailu/cctv6hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20250128184834&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=62487839620250128015&ParentNodeID=-99&assertID=5500212872&client_ip=1.62.81.39&SecurityKey=20250128184834&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=9572097a7508996d20c4e573c3699bf3&is_advertise=0&jid=a33b87a7a8a19787ee862ecd8eaec355&sjid=subsession_1738061314438&mtv_session=cc2c509a7e452412a751940a632c2d82&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=e49100f414e72ab14cd5e7527ed13c0a

CCTV7,http://mgsp-yx2.live.miguvideo.com:8088/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083622&pid=2028597139&timestamp=20250128184852&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=67316812120250128023&ParentNodeID=-99&assertID=5501083622&client_ip=1.62.81.39&SecurityKey=20250128184852&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=ddbf73ba14bff074bdd1458e240068ab&is_advertise=0&jid=8ea807b500af98dd829cc8f5e19fdb17&sjid=subsession_1738061332365&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=e7874ccbccf77ca42b79508f9e29d254&encrypt=49b695b85805beed16e21c71516e484d

CCTV8,http://mgsp-yx2.live.miguvideo.com:8088/migu/kailu/cctv8hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20250128184910&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=62487835620250128024&ParentNodeID=-99&assertID=5500212868&client_ip=1.62.81.39&SecurityKey=20250128184910&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=5923245cd37f220305a504f6b6a87549&is_advertise=0&jid=1ba269f8a76cc9e60991a79848de59c9&sjid=subsession_1738061350191&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=f41d7fa9fc2562101ef9efc0c06d3f01&encrypt=d495e64e541ccca5a1d928e609806d03

CCTV9,http://mgsp-hs2.live.miguvideo.com:8088/migu/kailu/20200324/cctv9hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083624&pid=2028597139&timestamp=20250128184929&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=67316814020250128023&ParentNodeID=-99&assertID=5501083624&client_ip=1.62.81.39&SecurityKey=20250128184929&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=d56f30122ac21d2c6c91a7eca743a2f6&is_advertise=0&jid=125d8ca1e77b0a426e630de3e94e3741&sjid=subsession_1738061369099&mtv_session=bc0ba85de69ad5e71d1724d382a751bd&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=64e4bb5313b4f4e39a470b764d5638c3

CCTV10,http://mgsp-bs2.live.miguvideo.com:8088/migu/kailu/cctv10hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212874&pid=2028597139&timestamp=20250128184946&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=62487840520250128032&ParentNodeID=-99&assertID=5500212874&client_ip=1.62.81.39&SecurityKey=20250128184946&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=1c5479706e69c5b592ddd0549506c42f&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=8ac49583986b5de739331ab352bbff4b&jid=1b5b8d536dc4ae6a9f4cbe1fb1f88538&sjid=subsession_1738061386720

CCTV11,http://mgsp-ws2.live.miguvideo.com:8088/migu/kailu/cctv11hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500988610&pid=2028597139&timestamp=20250128185004&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=66798755820250128013&ParentNodeID=-99&assertID=5500988610&client_ip=1.62.81.39&SecurityKey=20250128185004&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=41def159602e0eb0653466b41ef662b8&is_advertise=0&jid=809f0f6ba14891756180c38889cd7d4f&sjid=subsession_1738061404772&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=1e471a5bad692ce56865d2d893aa0876&encrypt=277b052b2924338f9471f96e56404f52

CCTV12,http://mgsp-hs2.live.miguvideo.com:8088/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083627&pid=2028597139&timestamp=20250128185052&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=67316818520250128022&ParentNodeID=-99&assertID=5501083627&client_ip=1.62.81.39&SecurityKey=20250128185052&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=6309dbd7fb004c15e626e0ab21497b0b&is_advertise=0&jid=7f4eaa88ccde0ee0bce897d4fb1517f8&sjid=subsession_1738061452380&mtv_session=4ea10bd9bcb665bb4d2a1f5abeebc0f1&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=07c8e4988f382615659c19b57e091812

CCTV13,http://mgsp-ali2.live.miguvideo.com:8088/migu/kailu/cctv13/57/20220913/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=2202208864&pid=2028597139&timestamp=20250128185110&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=60880742320250128020&ParentNodeID=-99&assertID=2202208864&client_ip=1.62.81.39&SecurityKey=20250128185110&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=71f3dd8381e5c525f1cdcedfedc4727d&is_advertise=0&jid=5dc8b0acb2cae1786c2a2b171f4db3c5&sjid=subsession_1738061470683&encrypt=4525ccdb60bf917d7368a89ba2e0ec5c&HlsSubType=1&nphaid=0&HlsProfileId=1&mtv_session=b8f65d53e391047e328de6a8d0f63246

CCTV14,http://mgsp-yx2.live.miguvideo.com:8088/migu/kailu/cctv14hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212875&pid=2028597139&timestamp=20250128185126&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=62487844020250128016&ParentNodeID=-99&assertID=5500212875&client_ip=1.62.81.39&SecurityKey=20250128185126&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=83f8b3c5896a0d8e8ba02d6148b16526&is_advertise=0&jid=661883a7933272713b3b9945ee709307&sjid=subsession_1738061486151&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=2844b7d71d0a9ab7d748785bd37bb5bb&encrypt=0d0e76d181dcdd5822e1608873c90a86

CCTV15,http://mgsp-hs2.live.miguvideo.com:8088/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083628&pid=2028597139&timestamp=20250128185144&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=67316822320250128009&ParentNodeID=-99&assertID=5501083628&client_ip=1.62.81.39&SecurityKey=20250128185144&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=6885c57420801d113705616d0682c21b&is_advertise=0&jid=98f45de584e9a32f240d116a73fccd97&sjid=subsession_1738061504611&mtv_session=253e6bf10138e8b8ed391e473c03a62c&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=bc964e1912c9f3a3654a2a64e1c4f07d

CCTV16,http://39.135.133.177/wh7f454c46tw3446163610_2122737539/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://mgsp-hs2.live.miguvideo.com:8088/migu/kailu/20200324/cctv17hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083631&pid=2028597139&timestamp=20250128185204&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=67316825620250128019&ParentNodeID=-99&assertID=5501083631&client_ip=1.62.81.39&SecurityKey=20250128185204&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=c5566c2e1dea043cc17541c536c156ea&is_advertise=0&jid=7e56f80e306960bef84ae4a6723432df&sjid=subsession_1738061524282&mtv_session=a47056f5d8e8a7d23e0b8a02c348b488&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b3b8c4d07920a209bc1aeedd56ad5a84

东方卫视,http://mgsp-yx2.live.miguvideo.com:8088/migu/kailu/dongfanghd265/57/20191230/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699212&netType=4&sid=5500058351&pid=2028597139&timestamp=20250128185222&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=65163264820250128026&ParentNodeID=-99&assertID=5500058351&client_ip=1.62.81.39&SecurityKey=20250128185222&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5100043384&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=aacd6fc87718f80d8d175ce90cb38bc2&is_advertise=0&jid=afde1a12621e3b278e7656c381cc7c33&sjid=subsession_1738061542883&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=125051e67b8a33722e4547d13498bee5&encrypt=8f82823d055a25687706dff9de1ec1c2
广东卫视,http://mgsp-ali2.live.miguvideo.com:8088/migu/kailu/gdwshd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699054&netType=4&sid=2202428795&pid=2028597139&timestamp=20250128185240&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=60883123120250128023&ParentNodeID=-99&assertID=2202428795&client_ip=1.62.81.39&SecurityKey=20250128185240&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=2202428795&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=143073898e9fbb9f0fa8f7f07e6b5b16&is_advertise=0&jid=c618043949270947e13c30bb6e728abc&sjid=subsession_1738061560085&encrypt=a3cbd85e57de66a13fff0c0a4bfb38a3&HlsSubType=1&nphaid=0&HlsProfileId=1&mtv_session=dc072c8ec489b7d43d9a06b2e3638bf4

江苏卫视,http://mgsp-ws2.live.miguvideo.com:8088/migu/kailu/jswshd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699067&netType=4&sid=5500199408&pid=2028597139&timestamp=20250128185309&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=62389936820250128018&ParentNodeID=-99&assertID=5500199408&client_ip=1.62.81.39&SecurityKey=20250128185309&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5100156802&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=10f1685746b58fce8c8dbd9d325f0abf&is_advertise=0&jid=d10addc7df79d37e9dab768a94380f08&sjid=subsession_1738061589574&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=955aa930a88042e6ed4cf469f9bb3caf&encrypt=a5a7ae8028e990c30d21cc337609b223

江西卫视,http://mgsp-yx2.live.miguvideo.com:8088/migu/kailu/jxwshd/57/20190820/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=600633&netType=4&sid=5910021492&pid=2028597139&timestamp=20250128185327&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=78384749520250128030&ParentNodeID=-99&assertID=5910021492&client_ip=1.62.81.39&SecurityKey=20250128185327&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=5900004351&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=d509e4b6b7b958e9492e5301aabcc006&is_advertise=0&jid=890a7d2c41ab8c8b9bb7734ccbbb3711&sjid=subsession_1738061607402&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=1079b4f41060c4552bc20c7ac654073c&encrypt=f4ac6c62a2f5d2f42d90fe371a5d2630

