中国港澳,#genre#
TVB无线华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali
TVB无线华丽,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
TVB无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
TVB无线功夫,https://lb-mvtv-live.v2h-cdn.com/redirect/asia_action1/1asia_action.stream?type=m3u8
TVB无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn

TVB无线新闻,http://grandprix2023.asuscomm.com:8892/bysid/83.m3u8
TVB无线新闻,https://cdn.iptv8k.top/dl/jspd.php?id=2&time=20240926215313&ip=111.229.253.40$LR•IPV4『线路1』
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB Plus,http://cdn.132.us.kg/live/tvbp/stream.m3u8
TVB Plus,https://stream1.freetv.fun/tvb-j2-1.m3u8
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
TVB明珠台,http://grandprix2023.asuscomm.com:8892/bysid/2.m3u8
TVB明珠台,http://grandprix2023.asuscomm.com:8892/bysid/2.m3u8
TVBJ1,http://cdn3.132.us.kg/live/j1/stream.m3u8
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
ViuTV,http://m.osvs.asia:8000/bysid/99
ViuTV6,http://m.osvs.asia:8000/bysid/96
美亚电影HK(粤),p3p://167.114.175.6:55331/655f8ccc0007d2578e70f934113a2428
美亞電影HK,p3p://108.181.32.169:54829/642525310003ad3cea72ca2155c734c3
HOY 77,http://cdn.132.us.kg/live/hoy/stream.m3u8
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv#http://stream.qhbtv.com/adws/sd/live.m3u8$LR•IPV4『线路2』
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0$LR•IPV4『线路5』
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0$LR•IPV4『线路11』
澳视澳门,http://cdn.132.us.kg/live/asam/stream.m3u8
澳门Mac,http://cdn.132.us.kg/live/as/stream.m3u8
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳门莲花,http://php.jdshipin.com/amlh.php
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门Mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
无线新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
无线华丽台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
凤凰卫视频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
广东珠江频备,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育频备,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
TVB无线华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻.备用,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
华丽翡翠台.备用,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxh
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
TVB无线华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
TVB明珠,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxh
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
TVB娱乐新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
VIU,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIU,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
法国时装,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8



广港澳台,#genre#
Plus即时,https://vdm6-ali.wujiekeji1.com/live/h6-2.flv
Plus即时,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
广东珠江,http://cdn2.132.us.kg/live/gdzj/stream.m3u8
广东体育,http://cdn2.132.us.kg/live/gdty/stream.m3u8
重温经典,http://cdn3.132.us.kg/live/cwjd/stream.m3u8
广东珠江,http://14.112.86.85:4022/udp/239.77.0.1:5146
广东新闻,http://14.112.86.85:4022/udp/239.77.0.173:5146
广东民生,http://14.112.86.85:4022/udp/239.77.0.225:5146
广东体育,http://14.112.86.85:4022/udp/239.77.0.112:5146
广东体育,http://14.112.86.85:4022/udp/239.77.0.168:5146
广东影视,http://14.112.86.85:4022/udp/239.77.0.217:5146
广东珠江,http://125.89.163.44:8888/udp/239.77.0.1:5146
广东新闻,http://125.89.163.44:8888/udp/239.77.0.173:5146
广东民生,http://125.89.163.44:8888/udp/239.77.0.225:5146
广东体育,http://125.89.163.44:8888/udp/239.77.0.112:5146
广东影视,http://125.89.163.44:8888/udp/239.77.0.217:5146
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8
广州新闻,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广州竞赛,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8
广州影视,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8
广州法治,http://tencentplaygzrb01.gztv.com/live/fazhi.m3u8
广州南国,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
无线新闻,http://php.jdshipin.com/smt.php?id=inews_twn
无线翡翠,http://php.jdshipin.com/smt.php?id=jade_twn
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线华丽粤,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
无线直播,http://v2h.jdshipin.com/liveshow/liveshow.stream/chunklist_w10.m3u8
无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
无线星河粤,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
无线星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
美亚电影粤,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
RTHK-31,p3p://108.181.32.169:54829/64101f330006ab429853d45f7940453b
RTHK-32,p3p://108.181.32.169:54829/641020b00001b8599859a360613572d7
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
民视闽南,rtmp://f13h.mine.nu/sat/tv051
中视闽南,rtmp://f13h.mine.nu/sat/tv091
华视闽南,rtmp://f13h.mine.nu/sat/tv111
台视闽南,rtmp://f13h.mine.nu/sat/tv071
东森超视,rtmp://f13h.mine.nu/sat/tv331
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
NHK新闻英,http://61.221.215.25:8800/hls/51/index.m3u8
tvbs闽南,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球国,http://61.221.215.25:8800/hls/57/index.m3u8
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来体育,rtmp://f13h.mine.nu/sat/tv721
DAZN体育壹,rtmp://f13h.mine.nu/sat/tv731
DAZN体育贰,rtmp://f13h.mine.nu/sat/tv741
amc电影英,http://61.221.215.25:8800/hls/43/index.m3u8
ASC搜索英,http://61.221.215.25:8800/hls/50/index.m3u8
Diso综合英,http://61.221.215.25:8800/hls/1/index.m3u8
momoTV,rtmp://f13h.mine.nu/sat/tv761
民视闽南,http://37.27.111.214:8080/live/6/hls.m3u8
中视闽南,http://37.27.111.214:8080/live/7/hls.m3u8
华视闽南,http://37.27.111.214:8080/live/8/hls.m3u8
龙华洋片,http://37.27.111.214:8080/live/19/hls.m3u8
猪哥亮歌厅国,http://37.27.111.214:8080/live/35/hls.m3u8
亚洲旅游,http://37.27.111.214:8080/live/10/hls.m3u8

广东频道,#genre#
无线翡翠高清,http://119.32.12.32:2901/udp/224.1.100.121:11111
无线翡翠标清,http://119.32.12.32:2901/udp/224.1.100.1:11111
无线明珠高清,http://119.32.12.32:2901/udp/224.1.100.123:11111
无线明珠标清,http://119.32.12.32:2901/udp/224.1.100.2:11111
凤凰卫视标清,http://119.32.12.32:2901/udp/224.1.100.3:11111
星空卫视标清,http://119.32.12.32:2901/udp/224.1.100.13:11111
澳亚卫视高清,http://119.32.12.32:2901/udp/224.1.100.12:11111
广东珠江高清,http://119.32.12.32:2901/udp/224.1.100.23:11111
广东新闻标清,http://119.32.12.32:2901/udp/224.1.100.5:11111
广东民生标清,http://119.32.12.32:2901/udp/224.1.100.4:11111
广东体育高清,http://119.32.12.32:2901/udp/224.1.100.34:11111
广东影视标清,http://119.32.12.32:2901/udp/224.1.100.11:11111
广东湾区标清,http://119.32.12.32:2901/udp/224.1.100.7:11111
广东少儿标清,http://119.32.12.32:2901/udp/224.1.100.9:11111
广东经济标清,http://119.32.12.32:2901/udp/224.1.100.6:11111
广东戏曲标清,http://119.32.12.32:2901/udp/224.1.100.120:11111
广州综合高清,http://119.32.12.32:2901/udp/224.1.100.36:11111
广州新闻高清,http://119.32.12.32:2901/udp/224.1.100.38:11111
广州法治高清,http://119.32.12.32:2901/udp/224.1.100.17:11111
广州法治标清,http://119.32.12.32:2901/udp/224.1.100.18:11111
广州竞赛高清,http://119.32.12.32:2901/udp/224.1.100.105:11111
CCTV-01高清,http://119.32.12.32:2901/udp/224.1.100.90:11111
CCTV-02高清,http://119.32.12.32:2901/udp/224.1.100.94:11111
CCTV-03高清,http://119.32.12.32:2901/udp/224.1.100.64:11111
CCTV-04高清,http://119.32.12.32:2901/udp/224.1.100.104:11111
CCTV-05高清,http://119.32.12.32:2901/udp/224.1.100.82:11111
CCTV-5+高清,http://119.32.12.32:2901/udp/224.1.100.25:11111
CCTV-06高清,http://119.32.12.32:2901/udp/224.1.100.84:11111
CCTV-07高清,http://119.32.12.32:2901/udp/224.1.100.27:11111
CCTV-08高清,http://119.32.12.32:2901/udp/224.1.100.86:11111
CCTV-09高清,http://119.32.12.32:2901/udp/224.1.100.29:11111
CCTV-10高清,http://119.32.12.32:2901/udp/224.1.100.76:11111
CCTV-11高清,http://119.32.12.32:2901/udp/224.1.100.44:11111
CCTV-12高清,http://119.32.12.32:2901/udp/224.1.100.78:11111
CCTV-13高清,http://119.32.12.32:2901/udp/224.1.100.69:11111
CCTV-14高清,http://119.32.12.32:2901/udp/224.1.100.80:11111
CCTV-15高清,http://119.32.12.32:2901/udp/224.1.100.42:11111
北京卫视高清,http://119.32.12.32:2901/udp/224.1.100.100:11111
东方卫视高清,http://119.32.12.32:2901/udp/224.1.100.48:11111
浙江卫视高清,http://119.32.12.32:2901/udp/224.1.100.52:11111
江苏卫视高清,http://119.32.12.32:2901/udp/224.1.100.46:11111
湖南卫视高清,http://119.32.12.32:2901/udp/224.1.100.98:11111
广东卫视高清,http://119.32.12.32:2901/udp/224.1.100.96:11111
深圳卫视高清,http://119.32.12.32:2901/udp/224.1.100.40:11111
天津卫视高清,http://119.32.12.32:2901/udp/224.1.100.62:11111
安徽卫视高清,http://119.32.12.32:2901/udp/224.1.100.66:11111
辽宁卫视高清,http://119.32.12.32:2901/udp/224.1.100.92:11111
山东卫视高清,http://119.32.12.32:2901/udp/224.1.100.50:11111
河北卫视高清,http://119.32.12.32:2901/udp/224.1.100.19:11111
河北卫视标清,http://119.32.12.32:2901/udp/224.1.100.20:11111
河南卫视高清,http://119.32.12.32:2901/udp/224.1.100.74:11111
江西卫视高清,http://119.32.12.32:2901/udp/224.1.100.54:11111
湖北卫视高清,http://119.32.12.32:2901/udp/224.1.100.68:11111
四川卫视高清,http://119.32.12.32:2901/udp/224.1.100.72:11111
贵州卫视高清,http://119.32.12.32:2901/udp/224.1.100.58:11111
重庆卫视高清,http://119.32.12.32:2901/udp/224.1.100.102:11111
广西卫视高清,http://119.32.12.32:2901/udp/224.1.100.110:11111
云南卫视高清,http://119.32.12.32:2901/udp/224.1.100.21:11111
东南卫视高清,http://119.32.12.32:2901/udp/224.1.100.56:11111
海南卫视高清,http://119.32.12.32:2901/udp/224.1.100.15:11111
海南卫视标清,http://119.32.12.32:2901/udp/224.1.100.16:11111
宁夏卫视标清,http://119.32.12.32:2901/udp/224.1.100.8:11111
甘肃卫视高清,http://119.32.12.32:2901/udp/224.1.100.10:11111
吉林卫视高清,http://119.32.12.32:2901/udp/224.1.100.60:11111
CETV-01高清,http://119.32.12.32:2901/udp/224.1.100.107:11111
CETV-04高清,http://119.32.12.32:2901/udp/224.1.100.109:11111
动作电影高清,http://119.32.12.32:2901/udp/224.1.100.131:11111
劲爆体育高清,http://119.32.12.32:2901/udp/224.1.100.129:11111
北京纪实高清,http://119.32.12.32:2901/udp/224.1.100.115:11111
北京少儿标清,http://119.32.12.32:2901/udp/224.1.100.112:11111
金鹰卡通高清,http://119.32.12.32:2901/udp/224.1.100.113:11111
优漫卡通标清,http://119.32.12.32:2901/udp/224.1.100.119:11111
茶道频道高清,http://119.32.12.32:2901/udp/224.1.100.117:11111

四川重庆,#genre#
璧山综合,http://222.179.42.129:8181/hls1.m3u8
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8
万州综合,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
万州综合,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
万州三峡移民,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
万州影视文艺,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
万州科教,http://123.146.162.24:8017/Cz7WPb8/800/live.m3u8
达州通川,http://tv.drs.dzxw.net/channellive/tcpd-dz3.flv
广安新闻综合,http://live1.gatv.com.cn:85/live/XWZH.m3u8
达州公共,http://tv.drs.dzxw.net/channellive/ggpd-dz2.flv
达州新闻,http://tv.drs.dzxw.net/channellive/xwzhpd-dz1.flv
