更新时间

臺灣 Taiwan,#genre#
非凡新聞台,https://pixman.mytvsuper.com.mp/Smart.php?id=feifannews_twn
龍祥時代,https://pixman.mytvsuper.com.mp/Smart.php?id=lungxiangtime_twn
龍華偶像,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuaidol_twn
龍華戲劇,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuaxiju_twn
龍華洋片,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuawestern_twn
龍華經典,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuajingdian_twn
龍華電影,https://pixman.mytvsuper.com.mp/Smart.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,https://pixman.mytvsuper.com.mp/Smart.php?id=TV1
TV1(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=TV1_backup
TV2,https://pixman.mytvsuper.com.mp/Smart.php?id=TV2
TV3,https://pixman.mytvsuper.com.mp/Smart.php?id=TV3
TV3(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=tv3_twn
NTV7,https://pixman.mytvsuper.com.mp/Smart.php?id=NTV7
TV8,https://pixman.mytvsuper.com.mp/Smart.php?id=TV8
TV9,https://pixman.mytvsuper.com.mp/Smart.php?id=TV9
Warna,https://pixman.mytvsuper.com.mp/Smart.php?id=Warna-O
Warna(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Warna
Ria,https://pixman.mytvsuper.com.mp/Smart.php?id=Ria-0
Ria(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Ria49
Ria-3,https://pixman.mytvsuper.com.mp/Smart.php?id=Ria_quanjia
Al-Hijrah,https://pixman.mytvsuper.com.mp/Smart.php?id=Alhijrah
Al-Hijrah(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Alhijrah_backup
Awani,https://pixman.mytvsuper.com.mp/Smart.php?id=Awani
Bernama,https://pixman.mytvsuper.com.mp/Smart.php?id=Bernama
Prima,https://pixman.mytvsuper.com.mp/Smart.php?id=Prima-0
Prima(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Prima49
Ceria,https://pixman.mytvsuper.com.mp/Smart.php?id=Ceria
Astro MTV,https://pixman.mytvsuper.com.mp/Smart.php?id=AstroMTV
Mecca Live HD,https://pixman.mytvsuper.com.mp/Smart.php?id=quran_mido
Madinah HD,https://pixman.mytvsuper.com.mp/Smart.php?id=sunnah_mido
Oasis,https://pixman.mytvsuper.com.mp/Smart.php?id=Oasis
HBO HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Hbo
HBO Signature,https://pixman.mytvsuper.com.mp/Smart.php?id=Hbosignature
HBO Hits,https://pixman.mytvsuper.com.mp/Smart.php?id=Hbohits
NatGeo Wild HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Natgeowild
Cartoon Network,https://pixman.mytvsuper.com.mp/Smart.php?id=Cn
Nickelodeon,https://pixman.mytvsuper.com.mp/Smart.php?id=Nickelodeon
Nick Jr,https://pixman.mytvsuper.com.mp/Smart.php?id=Nickjr
Citra,https://pixman.mytvsuper.com.mp/Smart.php?id=Citra
Sensasi,https://pixman.mytvsuper.com.mp/Smart.php?id=Sensasi
Aura,https://pixman.mytvsuper.com.mp/Smart.php?id=Aura
Rania,https://pixman.mytvsuper.com.mp/Smart.php?id=Rania
Boo,https://pixman.mytvsuper.com.mp/Smart.php?id=Boo
Awesome TV,https://pixman.mytvsuper.com.mp/Smart.php?id=Awesome_mega
Sony HD,https://pixman.mytvsuper.com.mp/Smart.php?id=SetOne
KBS World,https://pixman.mytvsuper.com.mp/Smart.php?id=KBS
TvN,https://pixman.mytvsuper.com.mp/Smart.php?id=TVN
Astro Premier,https://pixman.mytvsuper.com.mp/Smart.php?id=Astropremier
AEC,https://pixman.mytvsuper.com.mp/Smart.php?id=AEC
華麗台 HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Wlt
歡喜台 HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Huahee
歡喜台(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Huahee_backup
Astro QJ,https://pixman.mytvsuper.com.mp/Smart.php?id=Quanjia
TVB Jade,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvbjade
TVBS Asia,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvbasia
TVB Entertainment,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvbentertainment
TVB Classic,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvbclassic
AOD,https://pixman.mytvsuper.com.mp/Smart.php?id=AodHD
One,https://pixman.mytvsuper.com.mp/Smart.php?id=One_mega
TVB 星河台,https://pixman.mytvsuper.com.mp/Smart.php?id=Xinhe
愛奇藝,https://pixman.mytvsuper.com.mp/Smart.php?id=Qiyi
Animal Planet (Eng),https://pixman.mytvsuper.com.mp/Smart.php?id=AnimalPlanet
tvN Movie,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvnmovie
CNN(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=cnn_twn
Celestial Classic,https://pixman.mytvsuper.com.mp/Smart.php?id=Celestial2
CNBC,https://pixman.mytvsuper.com.mp/Smart.php?id=cnbc_twn
RTM Sports HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Rtmsport
TLC,https://pixman.mytvsuper.com.mp/Smart.php?id=Tlc
CNA,https://pixman.mytvsuper.com.mp/Smart.php?id=cna
AFC 亞洲旅遊台,https://pixman.mytvsuper.com.mp/Smart.php?id=asiatravel_twn
BBC World News,https://pixman.mytvsuper.com.mp/Smart.php?id=bbcnews_twn
Foodnetwork Hd,https://pixman.mytvsuper.com.mp/Smart.php?id=Foodnetwork_mega
HGTV,https://pixman.mytvsuper.com.mp/Smart.php?id=HGTV
Arena,https://pixman.mytvsuper.com.mp/Smart.php?id=Arena
Goshop,https://pixman.mytvsuper.com.mp/Smart.php?id=Goshop
Celestial Movies HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Celestial_mega
Arena 2,https://pixman.mytvsuper.com.mp/Smart.php?id=Arena2
Axn HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Axn
Paramount Network,https://pixman.mytvsuper.com.mp/Smart.php?id=Paramountnetwork
BolaArena 1,https://pixman.mytvsuper.com.mp/Smart.php?id=Bolaarena1
Astrol Kplus,https://pixman.mytvsuper.com.mp/Smart.php?id=Kplus
Rock Actions,https://pixman.mytvsuper.com.mp/Smart.php?id=Rockaction
Bloomberg News,https://pixman.mytvsuper.com.mp/Smart.php?id=bloomberg_twn
Al-Jazeera,https://pixman.mytvsuper.com.mp/Smart.php?id=aljazeera_twn
Rock Entertainment,https://pixman.mytvsuper.com.mp/Smart.php?id=Rockentertain
Showcase,https://pixman.mytvsuper.com.mp/Smart.php?id=Showcase_mega
BolaArena 2,https://pixman.mytvsuper.com.mp/Smart.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,https://pixman.mytvsuper.com.mp/Smart.php?id=Channel5HD
Channel 5(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Ch5_mega
Channel 8,https://pixman.mytvsuper.com.mp/Smart.php?id=Channel8HD
Channel 8(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Ch8_mega
Suria,https://pixman.mytvsuper.com.mp/Smart.php?id=Suria
Suria(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Suria_backup
Channel U,https://pixman.mytvsuper.com.mp/Smart.php?id=ChannelU
Channel U(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=ChU_mega
Vasantham,https://pixman.mytvsuper.com.mp/Smart.php?id=Vasantham
Vasantham(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Vasantham_mega
CNA,https://pixman.mytvsuper.com.mp/Smart.php?id=cna
CNA(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,https://pixman.mytvsuper.com.mp/Smart.php?id=TVRI
RCTI,https://pixman.mytvsuper.com.mp/Smart.php?id=Rcti
Kompass TV,https://pixman.mytvsuper.com.mp/Smart.php?id=Kompass
Berita Satu,https://pixman.mytvsuper.com.mp/Smart.php?id=BeritaSatu_eko
Indosiar HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Indosiar
AnTV,https://pixman.mytvsuper.com.mp/Smart.php?id=Antv
MNC TV,https://pixman.mytvsuper.com.mp/Smart.php?id=Mnctv
Trans 7,https://pixman.mytvsuper.com.mp/Smart.php?id=Trans7_eko
Transtv,https://pixman.mytvsuper.com.mp/Smart.php?id=Transtv
JTV,https://pixman.mytvsuper.com.mp/Smart.php?id=JTV_eko
Metro TV,https://pixman.mytvsuper.com.mp/Smart.php?id=metrotv_eko
Cinemax,https://pixman.mytvsuper.com.mp/Smart.php?id=Cinemax
SCTV,https://pixman.mytvsuper.com.mp/Smart.php?id=SCTV
Tvone,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvone
TVMU,https://pixman.mytvsuper.com.mp/Smart.php?id=TVMU_eko
GTV,https://pixman.mytvsuper.com.mp/Smart.php?id=Gtv
RTV,https://pixman.mytvsuper.com.mp/Smart.php?id=Rtv
Jak TV,https://pixman.mytvsuper.com.mp/Smart.php?id=JakTV
iNews TV,https://pixman.mytvsuper.com.mp/Smart.php?id=Inewstv
Daai TV,https://pixman.mytvsuper.com.mp/Smart.php?id=DaaiTV
Net TV,https://pixman.mytvsuper.com.mp/Smart.php?id=NetTV
Animax,https://pixman.mytvsuper.com.mp/Smart.php?id=Animax
EWTN,https://pixman.mytvsuper.com.mp/Smart.php?id=Ewtn
AlQuran AlKareem,https://pixman.mytvsuper.com.mp/Smart.php?id=AlQuran
Tawaf TV,https://pixman.mytvsuper.com.mp/Smart.php?id=TawafTV
Vision Prime,https://pixman.mytvsuper.com.mp/Smart.php?id=VisionPrime
Muslim TV,https://pixman.mytvsuper.com.mp/Smart.php?id=MuslimTV
Music TV,https://pixman.mytvsuper.com.mp/Smart.php?id=MusicTV
Lifestyle&Fashion,https://pixman.mytvsuper.com.mp/Smart.php?id=Lifestyle
Entertain,https://pixman.mytvsuper.com.mp/Smart.php?id=Entertain
Hits,https://pixman.mytvsuper.com.mp/Smart.php?id=Hits
Warner TV,https://pixman.mytvsuper.com.mp/Smart.php?id=WarnerTV
SCM,https://pixman.mytvsuper.com.mp/Smart.php?id=Weishimovie
Thrill,https://pixman.mytvsuper.com.mp/Smart.php?id=Thrill
Fight Sports,https://pixman.mytvsuper.com.mp/Smart.php?id=Fs
Beinsports 2 HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Bein2hd
Hits Movie,https://pixman.mytvsuper.com.mp/Smart.php?id=Hitsmovie
One,https://pixman.mytvsuper.com.mp/Smart.php?id=One_mega
tvN Movie,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvnmovie
Celestial Movies HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Celestialindo
Rock Actions,https://pixman.mytvsuper.com.mp/Smart.php?id=Rockaction
Rock Entertainment,https://pixman.mytvsuper.com.mp/Smart.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=j2_hkdavid
J2,https://pixman.mytvsuper.com.mp/Smart.php?id=j2_twn
RHK 31,https://pixman.mytvsuper.com.mp/Smart.php?id=rhk31_twn
RHK 32,https://pixman.mytvsuper.com.mp/Smart.php?id=rhk32_twn
TVB 星河,https://pixman.mytvsuper.com.mp/Smart.php?id=tvbxinhe_twn
VIUTV1,https://pixman.mytvsuper.com.mp/Smart.php?id=viu1_twn
Viu TV 69,https://pixman.mytvsuper.com.mp/Smart.php?id=viutv69_hkdavid
Viu6,https://pixman.mytvsuper.com.mp/Smart.php?id=viusix_twn
iNews 新聞台,https://pixman.mytvsuper.com.mp/Smart.php?id=inews_twn
無線財經資訊台,https://pixman.mytvsuper.com.mp/Smart.php?id=tvbcaijing_twn
珍珠台(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=pearl_hkdavid
珍珠台,https://pixman.mytvsuper.com.mp/Smart.php?id=pearl_twn
翡翠台(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=jade_mike
翡翠台,https://pixman.mytvsuper.com.mp/Smart.php?id=jade_twn
鳳凰衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=phoenixtv_hd
鳳凰資訊,https://pixman.mytvsuper.com.mp/Smart.php?id=phoenixinfo_hd
鳳凰香港,https://pixman.mytvsuper.com.mp/Smart.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv1
CCTV-2,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv2
CCTV-3,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv3
CCTV-4,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv4
CCTV-4 ,https://pixman.mytvsuper.com.mp/Smart.php?id=Cctv4
CCTV-5,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv5
CCTV-5+,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv5plus
CCTV-6,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv6
CCTV-7,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv7
CCTV-8,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv8hd
CCTV-9,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv9hd
CCTV-10,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv10hd
CCTV-11,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv11
CCTV-12,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv12
CCTV-13,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv13
CCTV-14,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv14
CCTV-15,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv15
CCTV-16,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv16
CCTV-17,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv17
湖南衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=hunan_twn
江蘇衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=jiangsu_twn
深圳衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=shenzhen
大灣區衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=nanfang_twn
廣東衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=guangdongweishi_twn
北京衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=beijing
廣東珠江,https://pixman.mytvsuper.com.mp/Smart.php?id=zhujiang
廣西衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=guangxi
湖北衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=hubei
四川衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=sichuan_twn
鳳凰衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=phoenixtv_hd
東方衛視,https://pixman.mytvsuper.com.mp/Smart.php?id=dongfangweishi_twn
CGTN,https://pixman.mytvsuper.com.mp/Smart.php?id=CGTN
鳳凰資訊,https://pixman.mytvsuper.com.mp/Smart.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,https://pixman.mytvsuper.com.mp/Smart.php?id=Assp1
Supersports 1(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=go_assp1
Supersportq 1(備用2),https://pixman.mytvsuper.com.mp/Smart.php?id=Assp1_mega
Supersports 2,https://pixman.mytvsuper.com.mp/Smart.php?id=Assp2
Supersports 2(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=go_assp2
Supersports 3,https://pixman.mytvsuper.com.mp/Smart.php?id=Assp3
Supersports 3(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=go_assp3
Supersports 3(備用2),https://pixman.mytvsuper.com.mp/Smart.php?id=Assp3_mega
Supersports 4,https://pixman.mytvsuper.com.mp/Smart.php?id=Assp4_mega
Supersports 4(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=go_assp4
Supersports 5,https://pixman.mytvsuper.com.mp/Smart.php?id=go_assp5
Bein 2HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Beinhd
Beinsports HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Besports
Champion 5 EPL,https://pixman.mytvsuper.com.mp/Smart.php?id=Champion5epl
WWE,https://pixman.mytvsuper.com.mp/Smart.php?id=Wwe
Champion 6 EPL,https://pixman.mytvsuper.com.mp/Smart.php?id=Champion6epl
Fight Sports,https://pixman.mytvsuper.com.mp/Smart.php?id=Fs
UFC Network,https://pixman.mytvsuper.com.mp/Smart.php?id=ufc_mega
NBA TV,https://pixman.mytvsuper.com.mp/Smart.php?id=nbatv_twn
Astro Cricket,https://pixman.mytvsuper.com.mp/Smart.php?id=Acricket_mega
Astro Golf,https://pixman.mytvsuper.com.mp/Smart.php?id=Agolf
TNT Sports 1,https://pixman.mytvsuper.com.mp/Smart.php?id=beeone
TNT Sports 2,https://pixman.mytvsuper.com.mp/Smart.php?id=beetwo
TNT Sports 3,https://pixman.mytvsuper.com.mp/Smart.php?id=beethree
TNT Sports 4,https://pixman.mytvsuper.com.mp/Smart.php?id=beefour
Sony Ten 1,https://pixman.mytvsuper.com.mp/Smart.php?id=ten1_raj
Sony Ten 2,https://pixman.mytvsuper.com.mp/Smart.php?id=ten2_raj
Sony Ten 3,https://pixman.mytvsuper.com.mp/Smart.php?id=ten3_raj
SPOTV 1 HD,https://pixman.mytvsuper.com.mp/Smart.php?id=go_spotv
SPO TV 2,https://pixman.mytvsuper.com.mp/Smart.php?id=go_spotv2
Beinsports 2 HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Bein2hd
Skysports Arena,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankongarena
Skysports F1,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankongf1
Skysports Cricket,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankongcricket
Skysports EPL,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankongepl
Skysports Football,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankongfootball
Skysports Golf,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankonggolf
Skysports Main Event,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankongmain
Skysports News,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankongnews
Skysports NFL,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankongnfl
Skysports Racing,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankongracing
Skysports Mix,https://pixman.mytvsuper.com.mp/Smart.php?id=tiankongmix
CCTV-5,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv5
CCTV-5+,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv5plus
愛爾達體育2台,https://pixman.mytvsuper.com.mp/Smart.php?id=eltasport2_twn
愛爾達體育3台,https://pixman.mytvsuper.com.mp/Smart.php?id=eltasport3_twn
RTM Sports HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Rtmsport
Arena,https://pixman.mytvsuper.com.mp/Smart.php?id=Arena
Arena 2,https://pixman.mytvsuper.com.mp/Smart.php?id=Arena2
BolaArena 1,https://pixman.mytvsuper.com.mp/Smart.php?id=Bolaarena1
Bein 1 Sports,https://pixman.mytvsuper.com.mp/Smart.php?id=bein1_mega
Bein 2 Sports,https://pixman.mytvsuper.com.mp/Smart.php?id=bein2_mega
Bein 3 Sports,https://pixman.mytvsuper.com.mp/Smart.php?id=bein3_mega
Bein 4 Sports,https://pixman.mytvsuper.com.mp/Smart.php?id=bein4_mega
Bein 5 Sports,https://pixman.mytvsuper.com.mp/Smart.php?id=bein5_mega
Bein 6 Sports,https://pixman.mytvsuper.com.mp/Smart.php?id=bein6_mega
Bein 7 Sports,https://pixman.mytvsuper.com.mp/Smart.php?id=bein7_mega
Rugby Pass TV,https://pixman.mytvsuper.com.mp/Smart.php?id=Rugbypasstv
BolaArena 2,https://pixman.mytvsuper.com.mp/Smart.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Suntv
Star Vijay,https://pixman.mytvsuper.com.mp/Smart.php?id=Starvijay
Colors Tamil,https://pixman.mytvsuper.com.mp/Smart.php?id=Colorstam_mega
Sun Music,https://pixman.mytvsuper.com.mp/Smart.php?id=Sunmusic
Astro Sunlife,https://pixman.mytvsuper.com.mp/Smart.php?id=Sunlife
Astro Vaanavil,https://pixman.mytvsuper.com.mp/Smart.php?id=Vaanavil
Zee Tamil,https://pixman.mytvsuper.com.mp/Smart.php?id=Zeetamil
Zee Business,https://pixman.mytvsuper.com.mp/Smart.php?id=Zeebusiness
News 18 Tamil,https://pixman.mytvsuper.com.mp/Smart.php?id=news18tamil_raj
Adithya,https://pixman.mytvsuper.com.mp/Smart.php?id=Adithya
Makkal TV,https://pixman.mytvsuper.com.mp/Smart.php?id=Makkaltv
Zee Action,https://pixman.mytvsuper.com.mp/Smart.php?id=Zeeaction
Astro KTV,https://pixman.mytvsuper.com.mp/Smart.php?id=Astroktv
Zee TV HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Zeetvhd
Zee Cinema HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Zeecinemahd
Color HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Colorhd
Starplus HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Starplushd
Picture HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Npicture
Zee News,https://pixman.mytvsuper.com.mp/Smart.php?id=Zeenews
Asianet,https://pixman.mytvsuper.com.mp/Smart.php?id=asianet_raj
Asianet News,https://pixman.mytvsuper.com.mp/Smart.php?id=asianetnews_raj
Times Now,https://pixman.mytvsuper.com.mp/Smart.php?id=timesnow_mega
