QQ708575690群,#genre#
CCTV5,http://mgsp-hs2.live.miguvideo.com:8088/migu/kailu/cctv5hd265/57/20191230/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20250217171802&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=64188668320250217015&ParentNodeID=-99&assertID=5500516171&client_ip=113.5.161.182&SecurityKey=20250217171802&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=5bbcf07e3d13acdc4827eac720f42723&is_advertise=0&jid=892896a164cd7d854a629b49e6c6ad9b&sjid=subsession_1739783882709&mtv_session=f57c5708c107c317fedaf344c1acf75a&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=1ee4ba8c1a10c1a4d72d72967268295d

CCTV5+,http://hlszymgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500516288&pid=2028597139&timestamp=20250217171819&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=64188677320250217013&ParentNodeID=-99&assertID=5500516288&client_ip=113.5.161.182&SecurityKey=20250217171819&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=1d1aefc3320951ae38ca5c02a75c7cad&sv=10003&ct=ios&playUrlSsn=48dc929dd56e9c3a7912197794d67ee2&is_advertise=0&jid=43539a7664a95d3edbfe1949ac967305&sjid=subsession_1739783899612&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=6eff5e56e55bfdbffeb511eadf024e38

CCTV6,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/cctv6hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20250217171837&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=62487839620250217013&ParentNodeID=-99&assertID=5500212872&client_ip=113.5.161.182&SecurityKey=20250217171837&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=c0ded63f0fddc348a083908140860d36&sv=10003&ct=ios&playUrlSsn=50e5d23a05e266188a938e147c65a143&is_advertise=0&jid=8fcb7e9b79239ca43ca79e8d2a8f60e7&sjid=subsession_1739783917338&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ea7a559064b8e9dd89c8aa44b884e0a5

CCTV7,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083622&pid=2028597139&timestamp=20250217171847&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=67316812120250217021&ParentNodeID=-99&assertID=5501083622&client_ip=113.5.161.182&SecurityKey=20250217171847&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=2167345d647d7ab5412fb93901adcb44&sv=10003&ct=ios&playUrlSsn=9e2b6dc31c9455b2e6dcee4914d8a190&is_advertise=0&jid=b2000915cef40d3d7ec98df1cee76f12&sjid=subsession_1739783927255&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=1f6ae89b1f4732f52c9510ede226e24a

CCTV8,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/cctv8hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20250217171907&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=62487835620250217020&ParentNodeID=-99&assertID=5500212868&client_ip=113.5.161.182&SecurityKey=20250217171907&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=7a1acdb3eff9a2ed60d60a57d688ee53&sv=10003&ct=ios&playUrlSsn=2c52abc90f55a3f7e9e21540ba8fdf9a&is_advertise=0&jid=4ae1ca7d315e893c8c6dce1bb76e6263&sjid=subsession_1739783947509&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=6adbe4a5425665c0e05bdb35acdcef0c

CCTV9,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv9hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083624&pid=2028597139&timestamp=20250217171926&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=67316814020250217020&ParentNodeID=-99&assertID=5501083624&client_ip=113.5.161.182&SecurityKey=20250217171926&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=c732b6ea6c33d787361f4da91c92cb2c&sv=10003&ct=ios&playUrlSsn=ed91b5a294a1a030f1f1ff7ff4fc0cb3&is_advertise=0&jid=44b894adb904554ab13d5531d3dbd9d7&sjid=subsession_1739783967134&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f8c364913b12644abc0fd9492bd55667

CCTV10,http://mgsp-hs2.live.miguvideo.com:8088/migu/kailu/cctv10hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212874&pid=2028597139&timestamp=20250217171946&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=62487840520250217027&ParentNodeID=-99&assertID=5500212874&client_ip=113.5.161.182&SecurityKey=20250217171946&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=e1d4c071f23909b8aa33e45c27b10299&is_advertise=0&jid=e4ce4eb7d7207e5bf584d3986d4b412d&sjid=subsession_1739783987006&mtv_session=52b72c784a53ad4b721b892c0e9b1b69&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=7f622c23698e55eb62b1a4d69d6eb4d5

CCTV11,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv11hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500988610&pid=2028597139&timestamp=20250217172006&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=66798755820250217011&ParentNodeID=-99&assertID=5500988610&client_ip=113.5.161.182&SecurityKey=20250217172006&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=13556ad9bbdc7ddd7dee4b1be606941c&sv=10003&ct=ios&playUrlSsn=f8da45e589bc1951522ecb04df378a2c&is_advertise=0&jid=e641ab81160009659e4b114feb0983cf&sjid=subsession_1739784006859&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=6ab44142cb798a9ac109ca6703609632

CCTV12,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083627&pid=2028597139&timestamp=20250217172026&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=67316818520250217019&ParentNodeID=-99&assertID=5501083627&client_ip=113.5.161.182&SecurityKey=20250217172026&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=df7034bc1eec1deb0297db625b87060e&sv=10003&ct=ios&playUrlSsn=b299484fd87094546f74713b4437d12e&is_advertise=0&jid=92d8e0b179ba4b7062df649e6242febb&sjid=subsession_1739784026469&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=96309158770d587f28109ae54662bf92

CCTV13,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/cctv13/57/20220913/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=2202208864&pid=2028597139&timestamp=20250217172047&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=60880742320250217025&ParentNodeID=-99&assertID=2202208864&client_ip=113.5.161.182&SecurityKey=20250217172047&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=514ee7243d504a6073541af4e8a7b104&sv=10003&ct=ios&playUrlSsn=ec3e8eb1e8d5f7d89118dd066c19137c&is_advertise=0&jid=df02f5816b08ddbe62607f41aaf71357&sjid=subsession_1739784047181&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=331d537c699d08853a9f93795ab844c0

CCTV14,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv14hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212875&pid=2028597139&timestamp=20250217172103&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=62487844020250217012&ParentNodeID=-99&assertID=5500212875&client_ip=113.5.161.182&SecurityKey=20250217172103&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=b03af49528cfe7d46d0fce5f0ad824cf&sv=10003&ct=ios&playUrlSsn=423c33dd082674b37b4dcca93561a09a&is_advertise=0&jid=e41be6109171f86ec4c5569bc47f048d&sjid=subsession_1739784064012&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=29087854db92511e3b0e30b059df4df5

CCTV15,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083628&pid=2028597139&timestamp=20250217172124&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=67316822320250217013&ParentNodeID=-99&assertID=5501083628&client_ip=113.5.161.182&SecurityKey=20250217172124&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=bff34c9f87cbbb408d6cf6eac645071f&sv=10003&ct=ios&playUrlSsn=fc6980e0a546acdbd7615da07f8384b4&is_advertise=0&jid=18869e84ac36f032c6cdbb4e97f1ed45&sjid=subsession_1739784084682&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=5188763661eb24b5cb9745cbd825f070

CCTV17,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv17hd/57/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5501083631&pid=2028597139&timestamp=20250217172144&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=67316825620250217025&ParentNodeID=-99&assertID=5501083631&client_ip=113.5.161.182&SecurityKey=20250217172144&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=8bbf15ba45d5329f6647036067e1a3c3&sv=10003&ct=ios&playUrlSsn=a430262915c0b4d6b571ebc2107b4f8f&is_advertise=0&jid=e0199e1d4b37fd611a547a33b73f5f14&sjid=subsession_1739784104112&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=a59211ebe3d0093ee9045ff148ba0256
💝咪咕V4,#genre#
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV8,http://goo.bkpcp.top/mg/cctv8
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV17,http://goo.bkpcp.top/mg/cctv17
中央新影-发现之旅,http://goo.bkpcp.top/mg/fxzl
CGTN纪录,http://goo.bkpcp.top/mg/cgtnjl
CGTN西语,http://goo.bkpcp.top/mg/cgtne
CGTN俄语,http://goo.bkpcp.top/mg/cgtnr
青海卫视,http://goo.bkpcp.top/mg/qhws
陕西卫视,http://goo.bkpcp.top/mg/sxws
湖北卫视,http://goo.bkpcp.top/mg/hubws
江苏卫视,http://goo.bkpcp.top/mg/jsws
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
海南卫视,http://goo.bkpcp.top/mg/hinws
四海钓鱼,http://goo.bkpcp.top/mg/shdy
江苏教育,http://goo.bkpcp.top/mg/jsjy
山东教育,http://goo.bkpcp.top/mg/sdjy
CCTV1,http://tv.20191209.xyz:37377/migu/608807420.m3u8?migutoken=004b385f879c68b1898b3b528c53ce2cc69a05fc6ccef397d5ff725950f98cc37983a6c0565ab535a964de0b80663b3a394fd8a43c51d0547d2e232162525de45bdb07292d1fc1944aea97f0
CCTV2,http://tv.20191209.xyz:37377/migu/631780532.m3u8?migutoken=862217ff2cffee0a741039e700509cb8f9a8b1920fe6cee55afb89ef1551eba3ecc744e93cf8e52cd8b4bf1a27c7a074745b640058072bfa4ad145917cdeb959261218d7b78174684a74ae78
CCTV15,http://tv.20191209.xyz:37377/migu/673168223.m3u8?migutoken=91bfd27ec54e6b68df329e3a36e211ea78e34558edc20ae3d76e0cbf89e6012d4e33c760dd200a4a41b2587c50dee210ca66da4ff8be48c4a97a2c7ab22d824ea440cc9c06961aa846be65a0
CCTV17,http://tv.20191209.xyz:37377/migu/673168223.m3u8?migutoken=91bfd27ec54e6b68df329e3a36e211ea78e34558edc20ae3d76e0cbf89e6012d4e33c760dd200a4a41b2587c50dee210ca66da4ff8be48c4a97a2c7ab22d824ea440cc9c06961aa846be65a0
CCTV1,http://ttkx.cc:1380/公开源/mg9.php?id=cctv1

CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV17,http://z.b.bkpcp.top/m.php?id=cctv17
中央新影-发现之旅,http://z.b.bkpcp.top/m.php?id=fxzl
中央新影-中学生,http://z.b.bkpcp.top/m.php?id=zxs
湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws
江西卫视,http://z.b.bkpcp.top/m.php?id=jxws
江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws
大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws
四海钓鱼,http://z.b.bkpcp.top/m.php?id=shdy
江苏教育,http://z.b.bkpcp.top/m.php?id=jsjy
山东教育,http://z.b.bkpcp.top/m.php?id=sdjy
游戏风云,http://z.b.bkpcp.top/m.php?id=yxfy
CHC家庭影院,http://z.b.bkpcp.top/m.php?id=jtyy
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=701afbfc9d2f77d62a9cc2f9479ecde3db6cef36d454660b5d2f0ffb3a1017d0e04c2e19dcbb7c344d80cfb64e43e90dd66c458476898ee612d0e2e9261645fcfc0d32fb90cdf2021d89c4877a
CCTV2,https://www.freetv.top/migu/631780532.m3u8?migutoken=6c76ed4394c8c43f88aac34dab811cbf99f0534dd0deb2fa6a2515925b7e3485de13876836fa6823e42f5c7304cfe44911416d7ad0312b8fbf012adfe4f735fd37abdd31a3b3e6f645512cd090
CCTV3,https://www.freetv.top/migu/624878271.m3u8?migutoken=6051cf0f824b7432a7e38cb90b50dbc8d5f9dbc684d357663ae821fb87ae233a45772b235431568e910e14c17b7496429d23d2b4b3501692941d1e6d364b2e35ccf5890eb0c31743c5dffaa2ef
CCTV4,https://www.freetv.top/migu/631780421.m3u8?migutoken=9c479e166888f001e1fb4ab5502e734251c68075cd89836a715137a1a2a4b18b60e282b0f1a308d6641c282600bd8db3cef99cb15edd0ab61d81c4d76d154bb464e3a02a75b167298c4747ce6f
CCTV5,https://www.freetv.top/migu/641886683.m3u8?migutoken=2394bc3ac567cd8270631b1f612f28f996719523d72453a2d116e0f33d6e35016d1954f50d7ae0eae4743d3557d85b85dc048a8c45ac3d96c528fce533ceeb7febaa06283ebe688a04fa57379a
CCTV5+,https://www.freetv.top/migu/641886773.m3u8?migutoken=4f1a9fcd002d1813b494eddd61778e103dbe130f4abb409e9032be9917dfd1871014d622a729fd6ffc4e1c376330de3f42c3691e2b49d12f7eb77bdf1887e67a9e6ad438d269a4408f0b3c6bcb
CCTV6,https://www.freetv.top/migu/624878396.m3u8?migutoken=6b67cbdfb1839f227832346707fcbe0f8de95d5df4faa3a63d5243e5f4ca0f52e79f041476a989915ac41a009e4c8f405f58040a4d4ec74bde4c945654300a3c41c00f4d67ef3708cb107ba9e9
CCTV7,https://www.freetv.top/migu/673168121.m3u8?migutoken=3253222269368c440aa1d23dba86c186a7b73abdea3890faf72e3d720844f8f1d3adc2b18ed047dbb3eff1a6c5d9379fad37d1f8a380d0e7c69e9ad6eb41709cf92077125fc0bded4cfd47808b
CCTV8,https://www.freetv.top/migu/624878356.m3u8?migutoken=fd27f61c7f7fe2cf7f724a0bb82a08a3e2d5c36e0ed91d4004eb9038918cf4e51f974f3288e5832b1e8b7907de8d1a37f400d9f454f47bb3fd4735c99fd4a541c6eea353c7d6d03cf5ec5b7533
CCTV9,https://www.freetv.top/migu/673168140.m3u8?migutoken=21079ccc296663c0852d7aa559706185d47321c401459ef6e4d341547dda558accb1b561b9935ba84cc9506d0ad03b0489b131d25c50278952093cf2b5b7913fb43c8c0effa57085fdad555379
CCTV10,https://www.freetv.top/migu/624878405.m3u8?migutoken=b1b22121df2bcd800e793b36913fab68d316021b76f648524809136fb73c1f61bca55e7a5b0562383be65dfcb00d638501b42d41f4e66fc266c568cf7a9986d9178f59c8f802bee2700c475a63
CCTV11,https://www.freetv.top/migu/667987558.m3u8?migutoken=dbfc420c420e30228efe23e562fc0ee670a65ddac45cc355845b855f27a4e5ba04a7e18d73eb58be7427a4bed6ef9056659fbcf58979a56ccbe84899cfdf0644fc1215333ca6210639196795f2
CCTV12,https://www.freetv.top/migu/673168185.m3u8?migutoken=876a940958defb8a6514e54b9a992f0208f7db15754439ec4131d690bb68982f44bdfa6edbdbbdaf91035ca931a5577a8de3f1af81b18ee26104662899818f2703ab8bf49c63365ef4c1abb782
CCTV13,https://www.freetv.top/migu/608807423.m3u8?migutoken=b0ebf450385413f8d70e72a92ceba03e41170d59df1374472666311b9a1b26c2665ac29d287ef869f8998593325508eed5b09a4020d14bc557a3fe580eea0c0f4c2c13a4581ddb400575b8d3e9
CCTV14,https://www.freetv.top/migu/624878440.m3u8?migutoken=e6bd15e024af167f2ca00052d9bcd67ea8fb97ef7fc460b66c53fe1a4e5ef960f22ccc6ea16b995648364a330058a0f552e989000e7e98adfafc3a0259bb475e8c905ce600deedcd97464ca17f
